"<ID>";"classe du verbe";"<OPT>V";"<ENT>N";"N0 =: N-hum";"Det =: le";"Det =: un-Modif";"N0 faire un N Modif de (le+ce+son) N1";"N0 faire un N Modif de N1";"Det =: un";"N0 faire un N";"Det =: des";"N0 faire des N";"N0 faire du N";"N1 =: Nhum";"N1 =: N-hum";"N0 faire Det N de N1 à N2";"N0 faire Det N à N2";"N0 se faire Det N de N1";"GN =: le N de N0";"GN =: le N de N0 à N2";"GN =: le N de N1";"Exemple Base1";"Exemple Autre1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"66";"32r";"climatiser";"climatisation";"-";"+";"+";"+";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"~";"~"
"67";"32c";"clouer";"clouage";"-";"+";"+";"+";"+";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"+";"~";"~"
"68";"39";"coder";"codage";"-";"+";"+";"+";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"+";"~";"~"
"69";"6";"codifier";"codification";"-";"+";"+";"+";"+";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"+";"-";"+";"~";"~"
"70";"37m";"coffrer";"coffrage";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"+";"+";"+";"-";"+";"~";"~"
"71";"36sl";"coller";"collage";"-";"+";"+";"+";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"~";"~"
"72";"37m";"colmater";"colmatage";"-";"+";"+";"+";"+";"-";"+";"-";"+";"+";"-";"+";"-";"-";"-";"+";"-";"+";"~";"~"
"73";"32cv";"coloniser";"colonisation";"-";"+";"+";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"~";"~"
"74";"37m";"colorier";"coloriage";"-";"+";"+";"+";"+";"-";"+";"-";"+";"+";"-";"+";"+";"+";"-";"+";"-";"+";"~";"~"
"75";"6";"colporter";"colportage";"-";"+";"+";"+";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"+";"~";"~"
"76";"32ra";"commercialiser";"commercialisation";"-";"+";"+";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"~";"~"
"77";"32pl";"compiler";"compilation";"-";"+";"+";"+";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"~";"~"
"78";"32a";"composer";"composition";"-";"+";"+";"+";"-";"-";"+";"-";"+";"+";"-";"+";"-";"-";"-";"+";"-";"+";"~";"~"
