"<ID>";"N0 =: homme";"N0 =: femme";"<ENT>N";"Det pluriel obl";"A (Prép+E) B = B";"A (Prép+E) B = A";"N0 être Nagent";"élément dérivé";"suff-";"suff+";"verbe associé";"N0 jouer à Det N";"N0 jouer de Det N"
"625";"+";"+";"trompette de cavalerie";"-";"-";"+";"+";"1";"e";"iste";"-";"-";"+"
"626";"+";"+";"trompette marine";"-";"-";"+";"+";"1";"e";"iste";"-";"-";"+"
"627";"+";"+";"trompette naturelle";"-";"-";"+";"+";"1";"e";"iste";"-";"-";"+"
"628";"+";"+";"trottinette";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"629";"+";"+";"tuba";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"630";"+";"+";"tuba antique";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+"
"631";"+";"+";"tuba d'orchestre";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+"
"632";"+";"+";"tuba wagnérien";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+"
"633";"+";"+";"tuba-cor";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+"
"634";"+";"+";"tubon";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"635";"+";"+";"turlurette";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"636";"+";"+";"tympanon";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"637";"+";"+";"tympanon des appalaches";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+"
"638";"+";"+";"tympanon européen";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+"
"639";"+";"+";"tympanon grec";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+"
"640";"+";"+";"tympanum";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"641";"+";"+";"ulm";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"642";"+";"+";"ultra-léger-motorisé";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"643";"+";"+";"vase à percussion";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"644";"+";"+";"vase siffleur";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"645";"+";"+";"vélo";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"646";"+";"+";"vérillon";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"647";"+";"+";"verres musicaux";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"648";"+";"+";"verrillon";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"649";"+";"+";"vibraphone";"-";"-";"-";"+";"-";"e";"iste";"-";"-";"+"
"650";"+";"+";"vièle";"-";"-";"-";"+";"-";"-";"ur";"-";"-";"+"
"651";"+";"+";"vièle";"-";"-";"-";"+";"-";"-";"ux";"-";"-";"+"
"652";"+";"+";"vielle";"-";"-";"-";"+";"-";"-";"ur";"-";"-";"+"
"653";"+";"+";"vielle";"-";"-";"-";"+";"-";"-";"ux";"-";"-";"+"
"654";"+";"+";"vielle à roue";"-";"-";"+";"+";"1";"-";"ur";"-";"-";"+"
"655";"+";"+";"vielle à roue";"-";"-";"+";"+";"1";"-";"ux";"-";"-";"+"
"656";"+";"+";"vielle médiévale";"-";"-";"+";"+";"1";"-";"ur";"-";"-";"+"
"657";"+";"+";"vielle médiévale";"-";"-";"+";"+";"1";"-";"ux";"-";"-";"+"
"658";"+";"+";"vihuela de mono";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"659";"+";"+";"viole";"-";"-";"-";"+";"-";"e";"iste";"-";"-";"+"
"660";"+";"+";"viole à bras";"-";"-";"+";"+";"1";"e";"iste";"-";"-";"+"
"661";"+";"+";"viole d'amour";"-";"-";"+";"+";"1";"e";"iste";"-";"-";"+"
"662";"+";"+";"viole de gambe";"-";"-";"+";"+";"1";"e";"iste";"-";"-";"+"
"663";"+";"+";"violino piccolo";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+"
"664";"+";"+";"violon";"-";"-";"-";"+";"-";"-";"iste";"-";"-";"+"
"665";"+";"+";"violon alto";"-";"-";"+";"+";"1";"-";"iste";"-";"-";"+"
"666";"+";"+";"violon de fer";"-";"-";"+";"+";"1";"-";"iste";"-";"-";"+"
"667";"+";"+";"violon électrique";"-";"-";"+";"+";"1";"-";"iste";"-";"-";"+"
"668";"+";"+";"violon préparé";"-";"-";"+";"+";"1";"-";"iste";"-";"-";"+"
"669";"+";"+";"violoncelle";"-";"-";"-";"+";"-";"e";"iste";"-";"-";"+"
"670";"+";"+";"virginal";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"671";"+";"+";"voile";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"672";"+";"-";"voiture de course";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-"
"673";"+";"+";"wood-block";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"674";"+";"+";"xylophone";"-";"-";"-";"+";"-";"e";"iste";"-";"-";"+"
"675";"+";"+";"yacht";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"676";"+";"+";"yole";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"

