"<ID>";"N0 =: homme";"N0 =: femme";"<ENT>N";"Det pluriel obl";"A (Prép+E) B = B";"A (Prép+E) B = A";"N0 être Nagent";"élément dérivé";"suff-";"suff+";"verbe associé";"N0 jouer à Det N";"N0 jouer de Det N"
"228";"+";"+";"fléchettes";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-"
"229";"+";"+";"fleuret";"-";"-";"-";"+";"-";"-";"iste";"-";"-";"-"
"230";"+";"+";"flexaton";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"231";"+";"+";"flûte";"-";"-";"-";"+";"-";"e";"iste";"-";"-";"+"
"232";"+";"+";"flûte à bec";"-";"-";"+";"+";"1";"e";"iste";"-";"-";"+"
"233";"+";"+";"flûte à bulbe";"-";"-";"+";"+";"1";"e";"iste";"-";"-";"+"
"234";"+";"+";"flûte à pistons";"-";"-";"+";"+";"1";"e";"iste";"-";"-";"+"
"235";"+";"+";"flûte alto";"-";"-";"+";"+";"1";"e";"iste";"-";"-";"+"
"236";"+";"+";"flûte alto en sol";"-";"-";"-";"+";"1";"e";"iste";"-";"-";"+"
"237";"+";"+";"flûte basse";"-";"-";"+";"+";"1";"e";"iste";"-";"-";"+"
"238";"+";"+";"flûte basse en ut";"-";"-";"-";"+";"1";"e";"iste";"-";"-";"+"
"239";"+";"+";"flûte de pan";"-";"-";"+";"+";"1";"e";"iste";"-";"-";"+"
"240";"+";"+";"flûte des andes";"-";"-";"+";"+";"1";"e";"iste";"-";"-";"+"
"241";"+";"+";"flûte douce";"-";"-";"+";"+";"1";"e";"iste";"-";"-";"+"
"242";"+";"+";"flûte douce alto";"-";"-";"-";"+";"1";"e";"iste";"-";"-";"+"
"243";"+";"+";"flûte douce alto en fa";"-";"-";"-";"+";"1";"e";"iste";"-";"-";"+"
"244";"+";"+";"flûte douce basse";"-";"-";"-";"+";"1";"e";"iste";"-";"-";"+"
"245";"+";"+";"flûte douce basse en fa";"-";"-";"-";"+";"1";"e";"iste";"-";"-";"+"
"246";"+";"+";"flûte douce sopranino";"-";"-";"-";"+";"1";"e";"iste";"-";"-";"+"
"247";"+";"+";"flûte douce sopranino en fa";"-";"-";"-";"+";"1";"e";"iste";"-";"-";"+"
"248";"+";"+";"flûte douce sopranino";"-";"-";"-";"+";"1";"e";"iste";"-";"-";"+"
"249";"+";"+";"flûte douce sopranino en ut";"-";"-";"-";"+";"1";"e";"iste";"-";"-";"+"
"250";"+";"+";"flûte douce ténor";"-";"-";"-";"+";"1";"e";"iste";"-";"-";"+"
"251";"+";"+";"flûte douce ténor en ut";"-";"-";"-";"+";"1";"e";"iste";"-";"-";"+"
"252";"+";"+";"flûte droite";"-";"-";"+";"+";"1";"e";"iste";"-";"-";"+"
"253";"+";"+";"flûte en verre";"-";"-";"+";"+";"1";"e";"iste";"-";"-";"+"
"254";"+";"+";"flûte eunuque";"-";"-";"+";"+";"1";"e";"iste";"-";"-";"+"
"255";"+";"+";"flûte irlandaise";"-";"-";"+";"+";"1";"e";"iste";"-";"-";"+"
"256";"+";"+";"flûte nasale";"-";"-";"+";"+";"1";"e";"iste";"-";"-";"+"
"257";"+";"+";"flûte traversière";"-";"-";"+";"+";"1";"e";"iste";"-";"-";"+"
"258";"+";"+";"flûte traversière en ré bémol";"-";"-";"-";"+";"1";"e";"iste";"-";"-";"+"
"259";"+";"+";"flûte traversière en ut";"-";"-";"-";"+";"1";"e";"iste";"-";"-";"+"
"260";"+";"+";"flûte-canne";"-";"-";"+";"+";"1";"e";"iste";"-";"-";"+"
"261";"+";"+";"flûte-dague";"-";"-";"+";"+";"1";"e";"iste";"-";"-";"+"
"262";"+";"+";"flûtel";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"263";"+";"+";"formule deux";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"264";"+";"+";"formule trois";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"265";"+";"+";"formule trois mille";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"266";"+";"+";"formule un";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"267";"+";"+";"fouet";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+"
"268";"+";"+";"frestel";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+"
"269";"+";"+";"frisbee";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-"
"270";"+";"+";"galoubet";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"271";"+";"+";"glockenspiel";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"272";"+";"+";"gong";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"273";"+";"+";"grande clarinette";"-";"+";"-";"+";"2";"e";"iste";"-";"-";"+"
"274";"+";"+";"grande flûte";"-";"+";"-";"+";"2";"e";"iste";"-";"-";"+"
"275";"+";"+";"grelots";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"276";"+";"+";"grosse caisse";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"277";"+";"+";"guimbarde";"-";"-";"-";"+";"-";"e";"ier";"-";"-";"+"
"278";"+";"+";"guimbarde";"-";"-";"-";"+";"-";"e";"iste";"-";"-";"+"
"279";"+";"+";"guitare";"-";"-";"-";"+";"-";"e";"iste";"-";"-";"+"
"280";"+";"+";"guitare acoustique";"-";"-";"+";"+";"1";"e";"iste";"-";"-";"+"
"281";"+";"+";"guitare basse";"-";"+";"+";"+";"1";"e";"iste";"-";"-";"+"
"282";"+";"+";"guitare classique";"-";"-";"+";"+";"1";"e";"iste";"-";"-";"+"
"283";"+";"+";"guitare électrique";"-";"-";"+";"+";"1";"e";"iste";"-";"-";"+"
"284";"+";"+";"guitare électro-acoustique";"-";"-";"-";"+";"1";"e";"iste";"-";"-";"+"
"285";"+";"+";"guitare folk";"-";"-";"+";"+";"1";"e";"iste";"-";"-";"+"
"286";"+";"+";"guitare folklorique";"-";"-";"+";"+";"1";"e";"iste";"-";"-";"+"
"287";"+";"+";"guitare folklorique à douze cordes";"-";"-";"-";"+";"1";"e";"iste";"-";"-";"+"
"288";"+";"+";"guitare folklorique à six cordes";"-";"-";"-";"+";"1";"e";"iste";"-";"-";"+"
"289";"+";"+";"guitare médiévale";"-";"-";"+";"+";"1";"e";"iste";"-";"-";"+"
"290";"+";"+";"guitare sèche";"-";"-";"+";"+";"1";"e";"iste";"-";"-";"+"
"291";"+";"+";"guitare-canne";"-";"-";"+";"+";"1";"e";"iste";"-";"-";"+"
"292";"+";"+";"guiterne";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"293";"+";"+";"guzla";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"294";"+";"+";"haltères";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"295";"+";"+";"harmonéon";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"296";"+";"+";"harmonica";"-";"-";"-";"+";"-";"a";"iciste";"-";"-";"+"
"297";"+";"+";"harmonica de verre";"-";"-";"+";"+";"1";"a";"iciste";"-";"-";"+"
"298";"+";"+";"harmonicorde";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"299";"+";"+";"harmonium";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+"
"300";"+";"+";"harp-viol";"-";"-";"-";"+";"1";"-";"iste";"-";"-";"+"
"301";"+";"+";"harpe";"-";"-";"-";"+";"-";"e";"iste";"-";"-";"+"
"302";"+";"+";"harpe antique";"-";"-";"+";"+";"1";"e";"iste";"-";"-";"+"
"303";"+";"+";"harpe celtique";"-";"-";"+";"+";"1";"e";"iste";"-";"-";"+"
"304";"+";"+";"harpe d'orchestre";"-";"-";"+";"+";"1";"e";"iste";"-";"-";"+"
"305";"+";"+";"harpe de concert";"-";"-";"+";"+";"1";"e";"iste";"-";"-";"+"
"306";"+";"+";"harpe de David";"-";"-";"+";"+";"1";"e";"iste";"-";"-";"+"
"307";"+";"+";"harpe double";"-";"-";"+";"+";"1";"e";"iste";"-";"-";"+"
"308";"+";"+";"harpe éolienne";"-";"-";"+";"+";"1";"e";"iste";"-";"-";"+"
"309";"+";"+";"harpe indienne";"-";"-";"+";"+";"1";"e";"iste";"-";"-";"+"
"310";"+";"+";"harpe irlandaise";"-";"-";"+";"+";"1";"e";"iste";"-";"-";"+"
"311";"+";"+";"harpe médiévale";"-";"-";"+";"+";"1";"e";"iste";"-";"-";"+"
"312";"+";"+";"harpe-cithare";"-";"-";"+";"+";"1";"e";"iste";"-";"-";"+"
