"<ID>";"classe du verbe";"<OPT>V";"<ENT>N";"N0 =: Nhum";"N0 =: N-hum";"Det =: un";"N0 faire un N Prép N1 de (le+ce+son) N2";"N0 faire Det N Prép N1 de N2";"N0 faire un N";"Det =: des";"N0 faire des N";"Det =: du";"N0 faire du N";"Prép1 =: à";"Prép1 =: sur";"Prép1 =: dans";"Prép1 =: contre";"N1 =: Nhum";"N1 =: N-hum";"N0-hum faire Det N à N1";"GN =: le N de N0";"GN =: le N de N0 Prép N1";"GN =: le N de N1";"Exemple Autre1";"Exemple Autre2";"Exemple Autre3";"Exemple Autre4";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"42";"32cl";"caresser";"caresse";"+";"+";"-";"-";"+";"+";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"~";"~";"~";"~"
"43";"37m";"carreler";"carrelage";"+";"-";"+";"-";"+";"+";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+";"+";"-";"-";"+";"~";"~";"~";"~"
"44";"37m";"carrosser";"carrosserie";"+";"-";"+";"-";"-";"+";"+";"+";"-";"+";"+";"-";"-";"-";"-";"+";"+";"-";"-";"+";"~";"~";"~";"~"
"45";"37m";"cartonner";"cartonnage";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"+";"-";"-";"-";"-";"+";"+";"-";"-";"+";"~";"~";"~";"~"
"46";"37m";"casser";"cassure";"+";"+";"+";"-";"-";"+";"+";"+";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"~";"Le choc  fait une cassure dans ce pot";"~";"~"
"47";"37m";"castrer";"castration";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"~";"~";"~";"~"
"48";"37m";"ceindre";"ceinture";"+";"+";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"+";"~";"~";"~";"~"
"49";"32pl";"chamarrer";"chamarrure";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"+";"(Max+Le couturier) a (mis+fait) des chamarrures sur ce vêtement";"(Max+Le couturier) a (mis+fait) des chamarrures à ce vêtement";"~";"~"
"50";"32pl";"chambarder";"chambardement";"+";"+";"+";"-";"-";"+";"+";"+";"+";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"~";"~";"~";"~"
"51";"38r";"chambouler";"chamboulement";"+";"+";"-";"-";"-";"-";"+";"+";"+";"+";"-";"-";"+";"-";"-";"+";"-";"+";"+";"+";"~";"~";"~";"~"
