"<ID>";"N0 =: homme";"N0 =: femme";"<ENT>N";"Det pluriel obl";"Det =: Poss0";"Det =: un-Modif, faire = pratiquer";"A (Prép+E) B = B";"A (Prép+E) B = A";"N0 être Nagent";"élément dérivé";"suff-";"suff+";"verbe associé";"N0 jouer à Det N";"N0 jouer de Det N"
"273";"+";"+";"jeu de paume";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-"
"274";"+";"+";"jeu de paume au tambourin";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"275";"+";"+";"jeu de paume à paume courte";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"276";"+";"+";"jeu de paume à paume longue";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"277";"+";"+";"jeu provençal";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"278";"+";"+";"jian-shu";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"279";"+";"+";"jianshu";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"280";"+";"+";"jiu-jitsu";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"281";"+";"+";"jnâna-yoga";"-";"-";"+";"-";"-";"+";"2";"a";"i";"-";"-";"-"
"282";"+";"+";"jo-do";"-";"-";"+";"-";"-";"+";"2";"-";"ka";"-";"-";"-"
"283";"+";"+";"jodo";"-";"-";"+";"-";"-";"+";"-";"-";"ka";"-";"-";"-"
"284";"+";"+";"ju-jitsu";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"285";"+";"+";"judo";"-";"-";"+";"-";"-";"+";"-";"-";"ka";"-";"-";"-"
"286";"+";"+";"judo ju-jitsu";"-";"-";"+";"-";"-";"+";"1";"-";"ka";"-";"-";"-"
"287";"+";"+";"jumping";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"288";"+";"+";"kaji";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"289";"+";"+";"kama";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"290";"+";"+";"karaté";"-";"-";"+";"-";"-";"+";"-";"-";"ka";"-";"-";"-"
"291";"+";"+";"karaté d'okinawa";"-";"-";"+";"-";"+";"+";"1";"-";"ka";"-";"-";"-"
"292";"+";"+";"karaté-do";"-";"-";"+";"-";"+";"+";"1";"-";"ka";"-";"-";"-"
"293";"+";"+";"karaté-kyokushinkai";"-";"-";"+";"-";"+";"+";"1";"-";"ka";"-";"-";"-"
"294";"+";"+";"karma-yoga";"-";"-";"+";"+";"-";"+";"2";"a";"i";"-";"-";"-"
"295";"+";"+";"kata";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"296";"+";"+";"kayac à deux";"-";"-";"+";"-";"+";"+";"1";"c";"kiste";"-";"-";"-"
"297";"+";"+";"kayac à trois";"-";"-";"+";"-";"+";"+";"1";"c";"kiste";"-";"-";"-"
"298";"+";"+";"kayac de slalom";"-";"-";"+";"-";"+";"+";"1";"c";"kiste";"-";"-";"-"
"299";"+";"+";"kayac-extrême";"-";"-";"+";"-";"+";"+";"1";"c";"kiste";"-";"-";"-"
"300";"+";"+";"kayac-mer";"-";"-";"+";"-";"+";"+";"1";"c";"kiste";"-";"-";"-"
"301";"+";"+";"kayac-mono";"-";"-";"+";"-";"+";"+";"1";"c";"kiste";"-";"-";"-"
"302";"+";"+";"kayac-polo";"-";"-";"+";"-";"+";"+";"1";"c";"kiste";"-";"-";"-"
"303";"+";"+";"kayac-surf";"-";"-";"+";"-";"+";"+";"1";"c";"kiste";"-";"-";"-"
"304";"+";"+";"kayac-vague";"-";"-";"+";"-";"+";"+";"1";"c";"kiste";"-";"-";"-"
"305";"+";"+";"kayak à deux";"-";"-";"+";"-";"+";"+";"-";"-";"iste";"-";"-";"-"
"306";"+";"+";"kayak à trois";"-";"-";"+";"-";"+";"+";"-";"-";"iste";"-";"-";"-"
"307";"+";"+";"kayak de slalom";"-";"-";"+";"-";"+";"+";"-";"-";"iste";"-";"-";"-"
"308";"+";"+";"kayak-extrême";"-";"-";"+";"-";"+";"+";"-";"-";"iste";"-";"-";"-"
"309";"+";"+";"kayak-mer";"-";"-";"+";"-";"+";"+";"-";"-";"iste";"-";"-";"-"
"310";"+";"+";"kayak-mono";"-";"-";"+";"-";"+";"+";"-";"-";"iste";"-";"-";"-"
"311";"+";"+";"kayak-polo";"-";"-";"+";"-";"+";"+";"-";"-";"iste";"-";"-";"-"
"312";"+";"+";"kayak-surf";"-";"-";"+";"-";"+";"+";"-";"-";"iste";"-";"-";"-"
"313";"+";"+";"kayak-vague";"-";"-";"+";"-";"+";"+";"1";"-";"iste";"-";"-";"-"
"314";"+";"+";"kegeling";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"315";"+";"+";"ken-jutsu";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"316";"+";"+";"kenjutsu";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"317";"+";"+";"kendo";"-";"-";"+";"-";"-";"+";"-";"-";"ka";"-";"-";"-"
"318";"+";"+";"kick-boxing";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"319";"+";"+";"ki do";"-";"-";"+";"-";"-";"+";"2";"-";"ka";"-";"-";"-"
"320";"+";"+";"kinomichi";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"321";"+";"+";"kirkpinar";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"322";"+";"+";"kneeboard";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"323";"+";"+";"ko-budo";"-";"-";"+";"-";"-";"+";"2";"-";"ka";"-";"-";"-"
"324";"+";"+";"kobudo";"-";"-";"+";"-";"-";"+";"-";"-";"ka";"-";"-";"-"
"325";"+";"+";"kuatsu";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"326";"+";"+";"kung-fu";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"327";"+";"+";"kung-fu wushu";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"328";"+";"+";"kung-fu wu shu";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"329";"+";"+";"kusari";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"330";"+";"+";"kusari-gama";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"331";"+";"+";"kusarigama";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"332";"+";"+";"kwan ki do";"-";"-";"+";"-";"-";"+";"3";"-";"ka";"-";"-";"-"
"333";"+";"+";"kyokushin";"-";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-"
"334";"+";"+";"kyokushinkai";"-";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-"
"335";"+";"+";"kyudo";"-";"-";"+";"-";"-";"+";"-";"-";"ka";"-";"-";"-"
"336";"+";"+";"kyu-jutsu d'ogasawara";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"337";"+";"+";"kyushakubo";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"338";"+";"-";"lacrosse";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"339";"+";"+";"latin";"-";"-";"+";"-";"-";"+";"-";"-";"iste";"-";"-";"-"
"340";"+";"+";"lettres classiques";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"341";"+";"+";"lettres modernes";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"342";"+";"+";"linguistique";"-";"-";"+";"-";"-";"+";"-";"ique";"e";"-";"-";"-"
"343";"+";"+";"logique";"-";"-";"+";"-";"-";"+";"-";"que";"cien";"-";"-";"-"
"344";"+";"+";"logistique";"-";"-";"+";"-";"-";"+";"-";"que";"cien";"-";"-";"-"
"345";"+";"-";"longhold";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"346";"+";"+";"longue paume";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-"
"347";"+";"+";"luge sur piste";"-";"-";"+";"-";"+";"+";"1";"-";"ur";"-";"-";"-"
"348";"+";"+";"luge sur piste artificielle";"-";"-";"+";"-";"-";"+";"1";"-";"ur";"-";"-";"-"
"349";"+";"+";"luge sur piste naturelle";"-";"-";"+";"-";"-";"+";"1";"-";"ur";"-";"-";"-"
"350";"+";"-";"lutte";"-";"-";"+";"-";"-";"+";"-";"-";"ur";"-";"-";"-"
"351";"+";"-";"lutte à la culotte";"-";"-";"+";"-";"+";"+";"1";"-";"ur";"-";"-";"-"
"352";"+";"-";"lutte bretonne";"-";"-";"+";"-";"+";"+";"1";"-";"ur";"-";"-";"-"
"353";"+";"-";"lutte folklorique";"-";"-";"+";"-";"+";"+";"1";"-";"ur";"-";"-";"-"
"354";"+";"-";"lutte gréco-romaine";"-";"-";"+";"-";"-";"+";"-";"-";"ur";"-";"-";"-"
"355";"+";"-";"lutte japonaise";"-";"-";"+";"-";"+";"+";"-";"-";"ur";"-";"-";"-"
"356";"+";"-";"lutte libre";"-";"-";"+";"-";"+";"+";"-";"-";"ur";"-";"-";"-"
"357";"+";"-";"lutte suisse";"-";"-";"+";"-";"+";"+";"-";"-";"ur";"-";"-";"-"
"358";"+";"-";"lutte thaï";"-";"-";"+";"-";"+";"+";"-";"-";"ur";"-";"-";"-"
"359";"+";"-";"lutte thaïlandaise";"-";"-";"+";"-";"+";"+";"-";"-";"ur";"-";"-";"-"
"360";"+";"-";"lutte turque";"-";"-";"+";"-";"+";"+";"-";"-";"ur";"-";"-";"-"
"361";"+";"+";"lyrique";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+"
