"<ID>";"N0 =: homme";"N0 =: femme";"<ENT>N";"Det pluriel obl";"Det =: Poss0";"Det =: un-Modif, faire = pratiquer";"A (Prép+E) B = B";"A (Prép+E) B = A";"N0 être Nagent";"élément dérivé";"suff-";"suff+";"verbe associé";"N0 jouer à Det N";"N0 jouer de Det N"
"482";"+";"+";"shaolin";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"483";"+";"+";"shiatsu";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"484";"+";"-";"shinney";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"485";"+";"-";"shinty";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"486";"+";"+";"shirojing";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"487";"+";"+";"shorinji-kempo";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"488";"+";"+";"shotokan";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"489";"+";"+";"shotokan-ryu";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"490";"+";"+";"skate";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"491";"+";"+";"skating";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"492";"+";"+";"skeet olympique";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"493";"+";"+";"ski acrobatique";"-";"-";"+";"-";"+";"+";"-";"-";"eur";"+";"-";"-"
"494";"+";"+";"ski à roulettes";"-";"-";"+";"-";"+";"+";"-";"-";"eur";"+";"-";"-"
"495";"+";"+";"ski alpin";"-";"-";"+";"-";"+";"+";"-";"-";"eur";"+";"-";"-"
"496";"+";"+";"ski artistique";"-";"-";"+";"-";"+";"+";"-";"-";"eur";"+";"-";"-"
"497";"+";"+";"ski artistique acrobatique";"-";"-";"+";"-";"-";"+";"-";"-";"eur";"+";"-";"-"
"498";"+";"+";"ski artistique et acrobatique";"-";"-";"+";"-";"-";"+";"-";"-";"eur";"+";"-";"-"
"499";"+";"+";"ski de descente";"-";"-";"+";"-";"+";"+";"-";"-";"eur";"+";"-";"-"
"500";"+";"+";"ski de saut";"-";"-";"+";"-";"+";"+";"-";"-";"eur";"+";"-";"-"
"501";"+";"+";"ski nautique";"-";"-";"+";"-";"+";"+";"-";"-";"eur";"+";"-";"-"
"502";"+";"+";"ski nordique";"-";"-";"+";"-";"+";"+";"-";"-";"eur";"+";"-";"-"
"503";"+";"+";"ski sur gazon";"-";"-";"+";"-";"+";"+";"-";"-";"eur";"+";"-";"-"
"504";"+";"+";"ski-bob";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"505";"+";"+";"skittles";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"506";"+";"+";"snowboard";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"507";"+";"+";"so-jutsu";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"508";"+";"+";"sojutsu";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"509";"+";"+";"sociologie";"-";"-";"+";"-";"-";"+";"-";"le";"ue";"-";"-";"-"
"510";"+";"+";"speed-sail";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"511";"+";"+";"speed-way";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"512";"+";"+";"speedway";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"513";"+";"+";"spéléologie";"-";"-";"+";"-";"-";"+";"-";"ie";"ue";"-";"-";"-"
"514";"+";"+";"spéléologie subaquatique";"-";"-";"+";"-";"+";"+";"1";"ie";"ue";"-";"-";"-"
"515";"+";"+";"statistiques";"+";"-";"+";"-";"-";"+";"-";"ques";"cien";"-";"-";"-"
"516";"+";"+";"steeple-chase";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"517";"+";"+";"stretching";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"518";"+";"+";"stretching postural";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"519";"+";"-";"sumo";"-";"-";"+";"-";"-";"+";"-";"-";"tori";"-";"-";"-"
"520";"+";"+";"surf";"-";"-";"+";"-";"-";"+";"-";"-";"eur";"-";"-";"-"
"521";"+";"+";"surfboard";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"522";"+";"+";"surf à voile";"-";"-";"+";"-";"+";"+";"1";"-";"eur";"-";"-";"-"
"523";"+";"+";"surf des neiges";"-";"-";"+";"-";"+";"+";"1";"-";"eur";"-";"-";"-"
"524";"+";"+";"surf-riding";"-";"-";"+";"-";"+";"+";"1";"-";"eur";"-";"-";"-"
"525";"+";"+";"survie en régions désertes";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"526";"+";"+";"swing-golf";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"527";"+";"+";"syndicalisme";"-";"-";"+";"-";"-";"+";"-";"me";"te";"-";"-";"-";;;;;;;;;;;;;;;;
"528";"+";"+";"syntaxe";"-";"-";"+";"-";"-";"+";"-";"e";"ticien";"-";"-";"-"
"529";"+";"+";"tae kuondo";"-";"-";"+";"-";"-";"+";"2";"-";"ka";"-";"-";"-"
