"<ID>";"classe du verbe";"<OPT>V";"<ENT>N";"N0 =: Nhum";"N0 =: N-hum";"Det =: un-Modif";"N0 faire un N Modif";"N0 faire un N";"Det =: des";"N0 faire des N";"Det =: du";"N0 faire du N";"Det =: Artg =: le";"N0 faire le N";"N0 faire le N de V0-inf W";"N0 faire le N de V1-inf W à N1";"Det =: <E>";"N0 faire (bon+mauvais) N Prép N1";"N0 faire N de V1-inf W";"N1 =: N-hum";"Prép1 =: à";"Prép1 =: contre";"GN =: le N de N0 à N1";"GN =: les N de N0 à N1";"GN =: le N de N0 contre N1";"Exemple Base1";"Exemple Base2";"Exemple Autre1";
"54";"4";"insulter";"insulte";"+";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"+";"+";"+";"~";"~";"~"
"55";"32cl";"lécher";"lèche";"+";"-";"+";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"~";"~";"~"
"56";"13";"louanger";"louange";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"+";"-";"~";"~";"~"
"57";"13";"louer";"louange";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"+";"-";"~";"~";"~"
"58";"12";"moraliser";"morale";"+";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"~";"~";"~"
"59";"9";"moucharder";"mouchardage";"+";"-";"+";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"~";"~";"~"
"60";"4";"offenser";"offense";"+";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"+";"-";"~";"~";"~"
"61";"4";"outrager";"outrage";"+";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"+";"-";"~";"~";"~"
"62";"12";"ovationner";"ovation";"+";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"~";"~";"~"
"63";"4";"peiner";"peine";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"~";"~";"~"
