"<ID>";"N0 =: Nhum";"N0 =: N-hum";"N0 =: Nnr";"<ENT>N";"autre Det";"Det =: un";"Det =: un-Modif";"Det =: du";"Det =: des";"N0 faire le N de V0-inf W";"de Nhum = à Nhum";"Exemple Base1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"105";"+";"-";"-";"demi-volte";"-";"+";"+";"-";"+";"-";"-";"~"
"106";"+";"-";"-";"dénégations";"-";"-";"-";"-";"+";"-";"-";"Max fait de la dénégation"
"107";"+";"-";"-";"dépassement";"-";"+";"+";"-";"+";"-";"-";"~"
"108";"+";"-";"-";"dépense";"-";"+";"+";"+";"+";"-";"-";"Max (fait+engage) la dépense de cette somme"
"109";"+";"-";"-";"dépôt";"-";"+";"+";"-";"+";"-";"-";"~"
"110";"+";"-";"-";"dépression";"-";"+";"+";"+";"-";"-";"-";"Max (a+fait) une dépression"
"111";"+";"-";"-";"derby";"-";"+";"+";"-";"+";"-";"-";"~"
"112";"-";"+";"-";"détonation";"-";"+";"+";"-";"+";"-";"-";"~"
"113";"+";"-";"-";"dettes";"-";"-";"-";"-";"+";"-";"-";"~"
"114";"+";"-";"-";"devoir";"Poss0";"+";"+";"-";"+";"-";"+";"Max fait des devoirs"
"115";"+";"-";"-";"dévotions";"Poss0";"-";"-";"-";"+";"-";"-";"~"
"116";"+";"-";"-";"diablerie";"-";"+";"+";"+";"+";"+";"-";"~"
"117";"+";"-";"-";"dictée";"-";"+";"+";"+";"+";"-";"+";"Les élèves ont fait une dictée"
"118";"+";"-";"-";"distribution";"-";"-";"+";"+";"-";"-";"-";"~"
"119";"+";"-";"-";"dodo";"<E>";"-";"+";"-";"-";"-";"-";"~"
"120";"+";"-";"-";"dribble";"-";"+";"+";"-";"+";"-";"-";"~"
"121";"+";"-";"-";"drop";"-";"+";"+";"-";"+";"-";"-";"Max fait un drop"
"122";"+";"-";"-";"dyalise";"-";"+";"+";"-";"+";"-";"-";"~"
"123";"+";"-";"-";"écart";"-";"+";"+";"-";"+";"-";"-";"Max a commis des écarts (E+de conduite)"
"124";"+";"-";"-";"éclat";"-";"+";"+";"-";"+";"-";"-";"Max fait un éclat à la réunion"
"125";"+";"-";"-";"économie";"-";"+";"+";"-";"+";"+";"-";"Max fait des économies"
"126";"+";"-";"-";"écritures";"-";"-";"-";"-";"+";"-";"-";"Max fait des écritures"
"127";"+";"-";"-";"élections";"-";"-";"-";"-";"+";"-";"-";"Le maire (fait+organise) des élections"
"128";"+";"-";"-";"élégance";"-";"-";"-";"+";"+";"-";"-";"~"
"129";"+";"-";"-";"élevage";"-";"-";"+";"+";"-";"-";"-";"~"
"130";"+";"-";"-";"emballage";"-";"+";"+";"-";"+";"-";"-";"~"
"131";"+";"-";"-";"en-avant";"-";"+";"+";"-";"+";"-";"-";"~"
"132";"+";"-";"-";"enchères";"les";"-";"-";"-";"+";"-";"-";"Max fait une enchère (élevée+de 50 francs)"
"133";"+";"-";"-";"enfantillages";"-";"-";"-";"-";"+";"-";"-";"~"
"134";"+";"-";"-";"engagement";"-";"+";"+";"-";"+";"-";"-";"~"
"135";"+";"-";"-";"enjambée";"-";"+";"+";"-";"+";"-";"-";"Max fait des grands enjambées"
"136";"+";"-";"-";"entrechat";"-";"+";"+";"-";"+";"-";"-";"Max fait un entrechat"
"137";"+";"-";"-";"épitaphe";"-";"+";"+";"+";"-";"-";"-";"~"
"138";"+";"-";"-";"épithalame";"-";"+";"+";"-";"+";"-";"-";"Mas fait un épithalame"
"139";"+";"-";"-";"épure";"-";"+";"+";"-";"+";"-";"-";"Max fait une épure"
"140";"-";"+";"-";"escalade";"la";"+";"+";"-";"-";"-";"-";"Les frères font une escalade"
"141";"+";"-";"-";"estampe";"-";"+";"+";"+";"+";"-";"-";"~"
"142";"+";"-";"-";"eurovision";"-";"-";"-";"+";"-";"-";"-";"~"
"143";"+";"-";"-";"exercice";"-";"+";"+";"-";"+";"-";"+";"Max fait un exercice"
"144";"+";"-";"-";"exorde";"-";"+";"+";"-";"-";"-";"-";"Max fait un exorde"
"145";"+";"-";"-";"exploit";"-";"+";"+";"-";"+";"+";"-";"Max a fait un exploit"
"146";"+";"-";"-";"extra";"-";"+";"+";"-";"+";"-";"-";"Max fait un extra "
"147";"+";"+";"-";"faillite";"<E>";"-";"+";"-";"+";"-";"-";"~"
"148";"+";"-";"-";"faute";"-";"+";"+";"-";"+";"+";"-";"Max a commis une faute (E+contre la foi jurée)"
"149";"+";"-";"-";"faux";"-";"+";"+";"+";"+";"-";"-";"~"
"150";"+";"-";"-";"féerie";"-";"+";"+";"-";"+";"-";"-";"Max a écrit une féerie"
"151";"+";"-";"-";"festivités";"-";"-";"-";"-";"+";"-";"-";"Max organise des festivités (E+en l'honneur de cet anniversaire)"
"152";"+";"+";"-";"fiasco";"<E>";"+";"+";"-";"-";"-";"-";"Ce spectacle a fait un fiasco"
"153";"+";"-";"-";"fiesta";"la";"-";"+";"-";"-";"-";"-";"Max a fait une fiesta joyeuse"
"154";"+";"-";"-";"fièvre";"-";"-";"+";"+";"-";"-";"-";"Max fait de la fièvre"
"155";"+";"-";"-";"figuration";"-";"-";"+";"+";"-";"-";"-";"Max fait de la figuration (E+dans ce spectacle)"
"156";"+";"-";"-";"fla-fla";"-";"-";"-";"-";"+";"-";"-";"~"
"157";"+";"-";"-";"flash-back";"-";"+";"+";"-";"+";"-";"-";"~"
"158";"+";"-";"-";"flexion";"-";"+";"+";"-";"+";"-";"-";"~"
"159";"+";"-";"-";"formalité";"-";"+";"+";"-";"+";"-";"-";"~"
"160";"+";"+";"-";"four";"-";"+";"+";"-";"-";"-";"-";"~"
"161";"+";"+";"-";"fracas";"-";"-";"+";"+";"-";"-";"-";"~"
"162";"+";"-";"-";"fredaine";"-";"-";"-";"-";"+";"-";"-";"~"
"163";"+";"+";"-";"fric";"-";"-";"+";"+";"-";"-";"-";"~"
"164";"+";"-";"-";"frime";"-";"-";"+";"+";"-";"-";"-";"~"
"165";"+";"-";"-";"fumigations";"-";"-";"-";"-";"+";"-";"-";"~"
"166";"+";"-";"-";"gabegie";"-";"-";"+";"+";"-";"-";"-";"~"
"167";"+";"-";"-";"gag";"-";"+";"+";"-";"-";"+";"-";"~"
"168";"+";"-";"-";"gala";"-";"+";"+";"-";"+";"-";"-";"~"
"169";"+";"-";"-";"galipette";"la";"+";"+";"-";"+";"-";"-";"~"
"170";"+";"-";"-";"gallicisme";"-";"+";"+";"-";"+";"-";"-";"~"
"171";"+";"-";"-";"gammes";"Poss0";"+";"+";"-";"+";"-";"-";"~"
"172";"+";"-";"-";"garde";"la";"-";"+";"-";"-";"-";"-";"~"
"173";"+";"-";"-";"garderie";"-";"-";"+";"+";"-";"-";"-";"~"
"174";"+";"-";"-";"gardiennage";"-";"-";"+";"+";"-";"-";"-";"~"
"175";"+";"-";"-";"gasconnade";"-";"+";"+";"-";"+";"-";"-";"~"
"176";"+";"-";"-";"génuflexion";"-";"+";"+";"-";"+";"-";"-";"~"
"177";"+";"-";"-";"geste";"-";"+";"+";"-";"+";"+";"-";"~"
"178";"+";"-";"-";"giries";"-";"-";"-";"-";"+";"-";"-";"~"
"179";"+";"-";"-";"glissando";"-";"+";"+";"-";"+";"-";"-";"~"
"180";"+";"-";"-";"goal-average";"-";"+";"+";"-";"+";"-";"-";"~"
"181";"+";"-";"-";"gouache";"-";"+";"+";"+";"+";"-";"-";"~"
"182";"+";"-";"-";"grève-bouchon";"-";"+";"+";"-";"+";"-";"-";"~"
"183";"+";"-";"-";"grève-surprise";"-";"+";"+";"-";"+";"-";"-";"~"
"184";"+";"-";"-";"homocide";"-";"+";"+";"-";"+";"-";"-";"~"
"185";"+";"-";"-";"hors jeu";"-";"+";"+";"-";"+";"-";"-";"~"
"186";"+";"-";"-";"humour";"-";"-";"+";"+";"-";"-";"-";"~"
"187";"+";"-";"-";"impair";"-";"+";"+";"-";"+";"+";"-";"~"
"188";"+";"-";"-";"imposture";"-";"+";"+";"-";"+";"+";"-";"~"
"189";"+";"-";"-";"impropriété";"-";"+";"+";"-";"+";"+";"-";"~"
"190";"+";"-";"-";"incartade";"-";"+";"+";"-";"+";"-";"-";"~"
"191";"+";"-";"-";"indigestion";"-";"+";"+";"-";"+";"-";"-";"~"
"192";"+";"-";"-";"infanticide";"-";"+";"+";"-";"+";"-";"-";"~"
"193";"+";"-";"-";"inhalation";"-";"+";"+";"-";"+";"-";"-";"~"
"194";"+";"-";"-";"intérim";"-";"+";"+";"+";"+";"-";"-";"~"
"195";"+";"-";"-";"interlude";"-";"+";"+";"-";"+";"-";"-";"~"
"196";"+";"-";"-";"introspection";"-";"-";"+";"+";"-";"-";"-";"~"
"197";"+";"-";"-";"java";"la";"-";"+";"-";"-";"-";"-";"~"
"198";"+";"-";"-";"jeté-battu";"-";"+";"+";"-";"+";"-";"-";"~"
"199";"+";"-";"-";"labeur";"-";"-";"+";"+";"-";"-";"-";"~"
"200";"+";"-";"-";"lapsus";"-";"+";"+";"-";"+";"-";"-";"~"
"201";"+";"-";"-";"larcin";"-";"+";"+";"-";"+";"-";"-";"~"
"202";"+";"-";"-";"lèche-vitrine";"-";"-";"+";"+";"-";"-";"-";"~"
"203";"+";"-";"-";"levée";"-";"+";"+";"-";"+";"-";"-";"~"
"204";"+";"-";"-";"lignes";"-";"-";"-";"-";"+";"-";"-";"~"
"205";"+";"-";"-";"litho";"-";"+";"+";"+";"+";"-";"-";"~"
"206";"+";"-";"-";"lob";"-";"+";"+";"-";"-";"-";"-";"~"
"207";"+";"-";"-";"logogramme";"-";"+";"+";"-";"+";"-";"-";"~"
"208";"+";"-";"-";"looping";"-";"+";"+";"-";"+";"-";"-";"~"
"209";"+";"-";"-";"loterie";"-";"+";"+";"-";"+";"-";"-";"~"
"210";"+";"-";"-";"lunch";"-";"+";"+";"-";"+";"-";"-";"~"
"211";"+";"-";"-";"macérations";"-";"-";"-";"-";"+";"-";"-";"~"
"212";"+";"-";"-";"magot";"Poss0";"+";"+";"-";"-";"-";"-";"~"
"213";"+";"-";"-";"manières";"-";"-";"-";"-";"+";"-";"-";"~"
"214";"+";"-";"-";"marché";"le";"-";"+";"-";"-";"-";"+";"~"
"215";"+";"-";"-";"marche arrière";"<E>";"+";"+";"+";"+";"-";"-";"~"
"216";"+";"-";"-";"mariage";"-";"+";"-";"-";"+";"-";"-";"~"
"217";"+";"-";"-";"martingale";"-";"+";"+";"-";"+";"-";"-";"~"
"218";"+";"-";"-";"massé";"-";"+";"+";"-";"+";"-";"-";"~"
"219";"+";"-";"-";"matricide";"-";"+";"+";"-";"+";"-";"-";"~"
"220";"+";"-";"-";"mazarinade";"-";"+";"+";"-";"+";"-";"-";"~"
"221";"+";"-";"-";"mea culpa";"Poss0";"-";"+";"-";"+";"-";"-";"~"
"222";"+";"-";"-";"méfait";"-";"+";"+";"-";"+";"+";"-";"~"
