"<ID>";"faire = accorder";"faire = adresser";"faire = avoir";"faire = effectuer";"faire = lancer";"faire = octroyer";"Det =: un";"Det =: des";"autre Det";"<ENT>N";"Det figé";"Prép1 =: à";"Prép1 =: de";"N1 =: Nhum";"N1 =: N-hum";"N0 et N1 se faire Det N";"GN =: le N de N0 à N1";"recevoir = avoir";"recevoir = essuyer";"recevoir = obtenir";"recevoir = faire l'objet de"
"113";"+";"-";"-";"+";"-";"+";"+";"-";"-";"prêt d'honneur";"-";"+";"-";"+";"-";"-";"+";"+";"-";"+";"-"
"114";"+";"-";"-";"-";"-";"+";"+";"-";"-";"prix d'ami";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"-"
"115";"+";"-";"-";"-";"-";"+";"+";"-";"-";"prix de faveur";"-";"+";"-";"+";"-";"-";"-";"+";"-";"+";"-"
"116";"-";"-";"-";"-";"-";"-";"+";"-";"-";"procès verbal";"-";"+";"-";"+";"-";"-";"+";"+";"+";"-";"+"
"117";"-";"-";"-";"-";"-";"-";"+";"-";"-";"promesse d'achat";"-";"+";"-";"+";"-";"-";"+";"+";"-";"+";"-"
"118";"-";"-";"-";"-";"-";"-";"+";"-";"-";"promesse de Gascon";"-";"+";"-";"+";"-";"+";"+";"+";"-";"+";"-"
"119";"-";"-";"-";"-";"-";"-";"+";"-";"-";"promesse de mariage";"-";"+";"-";"+";"-";"+";"+";"+";"-";"+";"-"
"120";"-";"-";"-";"-";"-";"-";"+";"-";"-";"promesse de vente";"-";"+";"-";"+";"-";"-";"+";"+";"-";"+";"-"
"121";"-";"-";"-";"-";"-";"-";"+";"-";"-";"promesse orale";"-";"+";"-";"+";"-";"+";"+";"+";"-";"+";"-"
"122";"-";"-";"-";"-";"-";"-";"+";"-";"-";"promesse verbale";"-";"+";"-";"+";"-";"+";"+";"+";"-";"+";"-"
"123";"-";"-";"-";"-";"+";"-";"+";"-";"-";"propositions de paix";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+";"-"
"124";"-";"-";"-";"-";"-";"-";"+";"-";"-";"propositions malhonnêtes";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"+"
"125";"-";"+";"-";"-";"-";"-";"+";"-";"-";"protestation écrite";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-"
"126";"-";"+";"-";"-";"-";"-";"+";"-";"-";"protestation verbale";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-"
"127";"-";"+";"-";"-";"+";"-";"+";"-";"-";"rappel à l'ordre";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"-"
"128";"-";"+";"-";"+";"-";"-";"+";"-";"-";"rapport oral";"-";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-"
"129";"-";"+";"-";"+";"-";"-";"+";"-";"-";"rapport verbal";"-";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-"
"130";"-";"-";"-";"+";"-";"-";"+";"-";"-";"ratification écrite";"-";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+"
"131";"+";"-";"-";"-";"-";"+";"+";"-";"-";"régime de faveur";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+";"-"
"132";"-";"+";"-";"+";"-";"-";"+";"-";"-";"relation écrite";"-";"+";"+";"+";"+";"-";"+";"-";"-";"-";"+"
