"<ID>";"classe du verbe";"<OPT>V";"<ENT>N";"N0 =: N-hum";"Det =: le";"Det =: un-Modif";"N0 faire un N Modif de (le+ce+son) N1";"N0 faire un N Modif de N1";"Det =: un";"N0 faire un N";"Det =: des";"N0 faire des N";"N0 faire du N";"N1 =: Nhum";"N1 =: N-hum";"Prép2 =: à";"Prép2 =: en";"Prép2 =: par";"Prép2 =: entre";"Prép2 =: sur";"Prép2 =: contre";"Prép2 =: dans";"N0 faire un N Prép N2";"Exemple Base1";"Exemple Autre1"
"91";"32pl";"regrouper";"regroupement";"-";"+";"+";"+";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"+";"~";"~"
"92";"32pl";"remembrer";"remembrement";"-";"+";"+";"+";"+";"-";"+";"+";"+";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"~";"~"
"93";"36dt";"remettre";"remise";"-";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"~";"~"
"94";"38l";"remorquer";"remorquage";"-";"+";"+";"+";"+";"-";"+";"-";"+";"+";"-";"+";"-";"-";"+";"-";"+";"-";"-";"+";"~";"~"
"95";"38pl";"répartir";"répartition";"-";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"~";"~"
"96";"38l";"repêcher";"repêchage";"-";"+";"+";"+";"+";"-";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"+";"+";"~";"~"
"97";"32cv";"résumer";"résumé";"-";"+";"+";"+";"+";"+";"+";"+";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"~";"~"
"98";"36dt";"retenir";"retenue";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"+";"~";"~"
"99";"38l";"saupoudrer";"saupoudrage";"-";"+";"+";"+";"-";"-";"-";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"~";"~"
"100";"38pl";"segmenter";"segmentation";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"~";"~"
"101";"38l";"sélectionner";"sélection";"-";"+";"+";"+";"+";"-";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"+";"+";"~";"~"
"102";"38pl";"séparer";"séparation";"+";"+";"+";"+";"-";"+";"+";"+";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"~";"~"
"103";"38l";"sertir";"sertissage";"-";"+";"+";"+";"+";"-";"-";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"~";"~"
"104";"36dt";"solder";"solde";"-";"-";"+";"-";"+";"-";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"+";"~";"~"
"105";"38l";"stocker";"stockage";"-";"+";"+";"+";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"~";"~"
"106";"38pl";"subdiviser";"subdivision";"-";"+";"+";"+";"-";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"~";"~"
"107";"38l";"surimposer";"surimposition";"-";"+";"+";"+";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"~";"~"
"108";"38l";"transborder";"transbordement";"-";"+";"+";"+";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"~";"~"
"109";"38l";"transférer";"transfert";"-";"+";"+";"+";"+";"-";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+";"+";"~";"~"
"110";"38r";"transformer";"transformation";"-";"+";"+";"+";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"~";"~"
"111";"36dt";"transfuser";"transfusion";"-";"+";"+";"+";"+";"-";"+";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"~";"~"
"112";"38dt";"transmettre";"transmission";"+";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"~";"~"
"113";"38l";"transplanter";"transplantation";"-";"+";"+";"+";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"~";"~"
"114";"38l";"transvaser";"transvasement";"-";"+";"+";"+";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"~";"~"
"115";"38l";"tremper";"trempage";"-";"+";"+";"+";"-";"-";"+";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"~";"~"
"116";"38r";"troquer";"troc";"-";"+";"+";"+";"+";"-";"+";"-";"+";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"~";"~"
"117";"38pl";"tronçonner";"tronçonnement";"-";"+";"+";"+";"-";"-";"-";"+";"+";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"~";"~"
"118";"38l";"vaporiser";"vaporisation";"-";"+";"+";"+";"+";"+";"+";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"~";"~"
"119";"38pl";"ventiler";"ventilation";"+";"+";"+";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"~";"~"

