"<ID>";"N0 =: Nhum";"N0 =: N-hum";"N0 =: (Qu P+V-inf W+V-n)";"N0 =: Dislocation";"<ENT>N";"Det =: <E>, Vsup =: avoir";"Det =: le, Vsup =: avoir";"Det =: un, Vsup =: avoir";"Det =: un-Modif, Vsup =: avoir";"Det =: des, Vsup =: avoir";"Det =: du, Vsup =: avoir";"Det =: le, Vsup =: perdre";"Det =: tout, Vsup =: perdre";"Det =: Poss0, Vsup =: perdre";"Prép1";"N1 =: ce Qu P";"Prép N1 =: Prép ce Qu P = Qu P";"N1 =: V0-inf W";"N1 =: Nhum";"N1 =: N-hum";"N0 être de Det N";"N0 être sans Det N";"il y avoir Det N Loc N0";"N0hum avoir le N de V0-inf W";"N0hum perdre Det N de V0-inf W";"N0-hum (avoir+perdre) le N de V0-inf W";"N1nr donner Det N à N0";"N1nr valoir Det N à N0";"N1 causer Det N à N0";"N1hum donner Det N à N0";"ADR";"Exemple Base1";"Exemple Autre1"
"47";"-";"-";"-";"-";"croyance";"-";"-";"-";"+";"+";"-";"-";"+";"+";"en";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"~";"~"
"48";"+";"-";"-";"-";"découragement";"-";"-";"-";"+";"+";"+";"-";"+";"+";"devant";"-";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"+";"-";"+";"-";"-";"~";"~"
"49";"+";"-";"-";"-";"défense";"-";"-";"+";"+";"+";"+";"-";"+";"+";"contre";"-";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"+";"+";"-";"-";"-";"~";"~"
"50";"+";"-";"-";"-";"dégoût";"-";"-";"-";"+";"+";"+";"-";"+";"+";"de";"-";"-";"+";"+";"+";"-";"+";"+";"+";"-";"-";"+";"-";"-";"-";"-";"~";"~"
"51";"+";"-";"-";"-";"dépaysement";"-";"-";"-";"+";"-";"+";"-";"+";"+";"devant";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"+";"+";"+";"-";"-";"~";"~"
"52";"+";"-";"-";"-";"dépit";"-";"-";"-";"+";"-";"+";"-";"+";"+";"de+devant";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"+";"+";"+";"-";"-";"~";"~"
"53";"+";"-";"-";"-";"désir";"-";"+";"-";"+";"+";"-";"-";"+";"+";"de";"+";"+";"+";"+";"+";"-";"+";"+";"-";"-";"-";"+";"-";"-";"+";"-";"~";"~"
"54";"+";"-";"-";"-";"désir";"-";"-";"-";"+";"+";"+";"-";"+";"+";"pour";"-";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"~";"~"
"55";"+";"-";"-";"-";"dessein";"-";"+";"-";"+";"-";"-";"-";"+";"+";"de";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"Max a des desseins sur (cette ville+cette dame)";"~"
"56";"+";"-";"-";"-";"desseins";"-";"-";"-";"-";"+";"-";"-";"+";"+";"sur";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"~";"~"
"57";"+";"-";"-";"-";"difficulté";"-";"-";"+";"+";"+";"+";"-";"+";"+";"à";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"~";"~"
"58";"+";"-";"-";"-";"difficulté";"-";"-";"+";"+";"+";"+";"-";"+";"+";"avec";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"~";"~"
"59";"+";"-";"+";"+";"doigté";"-";"-";"-";"+";"-";"+";"-";"+";"+";"avec";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"Max a du doigté avec ses malades";"~"
"60";"+";"-";"-";"-";"doute";"-";"-";"+";"+";"+";"-";"-";"+";"+";"sur";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"~";"~"
"61";"-";"+";"+";"-";"écho";"-";"-";"+";"+";"+";"+";"-";"+";"+";"Loc";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"+";"~";"~"
"62";"+";"-";"-";"-";"élan";"-";"-";"+";"+";"+";"-";"-";"+";"+";"vers";"-";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"Max a eu un élan vers Marie";"~"
"63";"+";"-";"-";"-";"embarras";"-";"-";"-";"+";"-";"+";"-";"+";"+";"devant";"-";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"+";"+";"+";"-";"-";"~";"~"
"64";"+";"-";"-";"-";"émerveillement";"-";"-";"-";"+";"-";"+";"-";"+";"+";"devant";"-";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"+";"-";"+";"-";"-";"~";"~"
"65";"+";"-";"-";"-";"empathie";"-";"-";"-";"+";"-";"+";"-";"+";"+";"avec";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"~";"~"
"66";"+";"-";"-";"-";"empressement";"-";"-";"-";"+";"-";"+";"-";"+";"+";"à";"-";"-";"+";"-";"+";"+";"+";"+";"-";"-";"-";"+";"+";"-";"-";"-";"~";"~"
"67";"+";"-";"-";"-";"empressement";"-";"-";"-";"+";"+";"+";"-";"+";"+";"Loc";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"~";"~"
