"<ID>";"<ENT>N";"Det =: des";"Det =: un";"Det =: un-Modif";"Det =: du";"Det =: le";"Qu P être un N pour N0";"Qu P donner Det N à N0";"Vsup =: connaître";"Exemple Autre1";"Exemple Autre2";"Exemple Autre3";"Exemple Autre4";"Exemple Autre5";"Exemple Autre6";"Exemple Autre7"
"175";"faculté";"+";"-";"+";"-";"-";"-";"-";"-";"Max a des facultés immenses";"~";"~";"~";"~";"~";"~"
"176";"famille";"-";"+";"+";"+";"-";"-";"+";"-";"~";"Max a une famille";"Max a de la famille";"~";"~";"Max est (d'une+de) famille aisée";"~"
"177";"fantasme";"+";"+";"+";"-";"-";"+";"+";"-";"~";"Max a (un fantasme+le fantasme que le monde est une île enchantée)";"~";"~";"~";"~";"~"
"178";"fardeau";"-";"+";"+";"-";"-";"+";"-";"-";"~";"Max a un fardeau";"~";"~";"~";"Ce paquet est un fardeau pour Max";"~"
"179";"fausset";"-";"-";"+";"-";"-";"-";"-";"-";"~";"Max a un fausset très caractéristique";"~";"~";"~";"~";"~"
"180";"feeling";"-";"-";"+";"+";"-";"-";"-";"-";"~";"~";"Max a du feeling";"~";"~";"~";"~"
"181";"feintise";"-";"-";"+";"-";"-";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~"
"182";"félicité";"+";"-";"+";"-";"-";"+";"+";"+";"~";"Max a une certaine félicité";"~";"~";"~";"~";"~"
"183";"fief";"+";"+";"+";"-";"-";"-";"+";"-";"~";"Max a un fief";"~";"~";"~";"(L'Aquitaine+L'égyptologie) est le fief de Max";"~"
"184";"flair";"-";"-";"+";"+";"-";"-";"+";"-";"~";"~";"Max a du flair pour les bonnes affaires";"~";"~";"~";"~"
"185";"fond";"-";"-";"+";"+";"-";"-";"+";"-";"~";"Max a un fond (*E+solide)";"~";"~";"~";"~";"~"
"186";"forces";"+";"-";"-";"-";"-";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~"
"187";"formes";"+";"-";"-";"-";"-";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~"
"188";"fort";"-";"+";"+";"-";"-";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~"
"189";"fortune";"-";"+";"+";"+";"-";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~"
