"<ID>";"classe du verbe";"<OPT>V";"<ENT>N";"N0 =: Nhum";"N0 =: N-hum";"Det =: le";"Det =: un-Modif";"N0 faire un N Modif de (le+ce+son) N1";"N0 faire un N Modif de N1";"Det =: un";"N0 faire un N";"Det =: des";"N0 faire des N";"N0 faire du N";"N1 =: Nhum";"N1 =: N-hum";"N0 faire Det N Prép N1 à N2";"N0 faire Det N à N2";"N0 se faire Det N de N1";"GN =: le N de N0";"GN =: le N de N0 à N2";"GN =: le N de N1";"Prép N1 =: Qu Pind";"Qu Pind = de V0-inf W";"Prép N1 =: de ce Qu Pind";"Prép N1 =: Qu Psubj";"Qu Psubj = de V0-inf W";"Qu Psubj = de V2-inf W";"Det N être fait W par N0";"Exemple Base1";"Exemple Base2";"Exemple Autre1";"Exemple Autre2";
"44";"9";"exhiber";"exhibition";"-";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"-";"+";"+";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"~";"~";"Max fait l'exhibition de (ce titre+ses talents) à son chef";"~"
"45";"6";"expérimenter";"expérimentation";"+";"-";"+";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~"
"46";"6";"explorer";"exploration";"-";"-";"+";"+";"+";"-";"-";"+";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"Max fait l'exploration de ma grotte";"~";"~";"~"
"47";"9";"exposer";"exposé";"-";"+";"+";"+";"+";"-";"+";"+";"+";"+";"-";"-";"+";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"~";"~";"Max fait l'exposé de ses griefs à Marie";"~"
"48";"9";"exposer";"exposition";"-";"+";"+";"+";"+";"+";"+";"+";"+";"+";"-";"-";"+";"+";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"Max fait une exposition de ses toits dans une galerie";"~";"~";"~"
"49";"6";"fouiller";"fouille";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~"
"50";"6";"improviser";"improvisation";"+";"-";"+";"+";"-";"+";"-";"+";"-";"+";"+";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~"
"51";"6";"inaugurer";"inauguration";"-";"-";"+";"+";"+";"+";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"~";"~";"~";"~"
"52";"9";"insinuer";"insinuation";"-";"+";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"+";"+";"-";"+";"+";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~";"~";"~"
"53";"6";"inspecter";"inspection";"-";"-";"+";"+";"+";"-";"-";"+";"+";"+";"+";"+";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"~";"~";"~";"~"
"54";"6";"inventer";"invention";"+";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~"
"55";"9";"lire";"lecture";"-";"+";"+";"+";"+";"-";"-";"+";"-";"+";"+";"-";"+";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"+";"~";"~";"~";"~"
"56";"6";"maquiller";"maquillage";"-";"-";"+";"+";"+";"-";"-";"+";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~"
"57";"9";"mentionner";"mention";"-";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"+";"~";"~";"~";"~"
"58";"9";"narrer";"narration";"-";"+";"+";"+";"+";"-";"-";"+";"-";"+";"+";"-";"+";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~"
"59";"6";"observer";"observation";"+";"-";"+";"+";"+";"-";"-";"+";"+";"+";"-";"+";"+";"-";"-";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"+";"~";"~";"~";"~"
"60";"9";"octroyer";"octroi";"-";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"~";"~";"~";"~"
"61";"9";"offrir";"offre";"+";"-";"+";"+";"-";"+";"-";"+";"-";"+";"-";"-";"+";"+";"+";"+";"+";"+";"+";"-";"-";"-";"+";"+";"+";"+";"~";"~";"~";"~"
"62";"6";"postuler";"postulat";"+";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~"
"63";"9";"prédire";"prédiction";"+";"-";"+";"+";"+";"-";"-";"+";"-";"+";"-";"-";"+";"+";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"-";"+";"~";"~";"~";"~"
"64";"9";"prescrire";"prescription";"-";"+";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"+";"+";"+";"+";"-";"-";"-";"-";"-";"+";"-";"+";"+";"~";"~";"~";"~"
"65";"36s";"présenter";"présentation";"-";"+";"+";"+";"+";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"~";"~";"~";"~"
"66";"6";"présupposer";"présupposition";"-";"+";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~"
"67";"9";"prouver";"preuve";"+";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"~";"~";"~";"~"
"68";"6";"prévoir";"prévision";"+";"-";"+";"+";"+";"-";"-";"+";"-";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~"
"69";"9";"proclamer";"proclamation";"-";"+";"+";"+";"+";"-";"-";"+";"-";"+";"-";"-";"+";"+";"+";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"+";"~";"~";"~";"~"
"70";"6";"projeter";"projet";"+";"-";"+";"+";"-";"+";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"+";"+";"+";"-";"-";"-";"-";"-";"~";"~";"~";"~"
"71";"9";"promettre";"promesse";"+";"-";"+";"+";"-";"+";"-";"+";"-";"+";"-";"-";"+";"+";"+";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"+";"~";"~";"~";"~"
"72";"6";"pronostiquer";"pronostic";"+";"-";"+";"+";"+";"-";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~"
"73";"9";"prophétiser";"prophétie";"-";"+";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"+";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"-";"+";"~";"~";"~";"~"
"74";"9";"proposer";"proposition";"-";"+";"+";"+";"-";"+";"-";"+";"-";"+";"-";"-";"+";"+";"+";"+";"+";"+";"+";"-";"-";"-";"+";"+";"+";"+";"~";"~";"~";"~"
"75";"6";"publier";"publication";"+";"-";"+";"+";"+";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"~";"~";"~";"~"
"76";"9";"rabâcher";"rabâchage";"+";"-";"-";"+";"+";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~"
"77";"9";"rappeler";"rappel";"+";"-";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+";"~";"~";"~";"~"
"78";"3";"rapporter";"rapport";"-";"+";"+";"+";"+";"-";"+";"+";"+";"+";"-";"-";"+";"+";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"-";"+";"~";"~";"~";"~"
"79";"9";"récapituler";"récapitulation";"-";"+";"+";"+";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~"
