"<ID>";"<ENT>N";"N0 =: Nhum";"N0 =: Ncoll";"Det =: un-de Dnum Nmes";"il y avoir Det N à N0";"il y avoir Det N Loc N0";"Vsup =: mettre";"Vsup =: faire";"Exemple Base1";"Exemple Autre1";"Exemple Autre2";"Exemple Autre3";"Exemple Autre4"
"551";"substrat";"+";"-";"-";"+";"-";"-";"-";"~";"~";"~";"~";"~"
"552";"substructure";"+";"-";"-";"+";"-";"-";"-";"~";"~";"~";"~";"~"
"553";"sud";"+";"-";"-";"-";"+";"-";"-";"~";"~";"~";"~";"~"
"554";"suffixe";"+";"-";"-";"+";"-";"-";"-";"~";"~";"~";"~";"~"
"555";"suite";"+";"-";"+";"+";"-";"-";"-";"~";"~";"~";"~";"~"
"556";"suites";"+";"-";"-";"+";"-";"-";"-";"~";"~";"~";"~";"~"
"557";"sujet";"+";"-";"-";"-";"+";"-";"-";"~";"~";"~";"~";"~"
"558";"superlatif";"+";"-";"-";"-";"+";"-";"-";"~";"~";"~";"~";"~"
"559";"superstructure";"+";"-";"-";"-";"+";"-";"-";"~";"~";"~";"~";"~"
"560";"supin";"+";"-";"-";"-";"+";"-";"-";"~";"~";"~";"~";"~"
"561";"support";"+";"-";"-";"+";"-";"-";"-";"~";"~";"~";"~";"~"
"562";"surcharge";"+";"-";"+";"-";"+";"+";"-";"~";"~";"~";"~";"~"
"563";"surchauffe";"+";"-";"-";"-";"+";"-";"+";"~";"~";"~";"~";"~"
"564";"surreffectif";"+";"-";"+";"-";"+";"-";"-";"~";"~";"~";"~";"~"
"565";"surpiqûre";"+";"-";"-";"-";"+";"-";"-";"~";"~";"~";"~";"~"
"566";"surplomb";"+";"-";"-";"-";"+";"-";"-";"~";"~";"~";"~";"~"
"567";"survivance";"+";"-";"-";"-";"+";"-";"-";"~";"~";"~";"~";"~"
"568";"syllabe";"+";"-";"-";"-";"+";"-";"-";"~";"~";"~";"~";"~"
"569";"symptôme";"+";"-";"-";"-";"+";"-";"-";"~";"~";"~";"~";"~"
"570";"syntagme";"+";"-";"-";"-";"+";"-";"-";"~";"~";"~";"~";"~"
"571";"syntaxe";"+";"-";"-";"-";"+";"-";"-";"~";"~";"~";"~";"~"
"572";"temporalité";"+";"-";"-";"-";"+";"-";"-";"~";"~";"~";"~";"~"
"573";"temps";"+";"-";"-";"-";"+";"-";"-";"~";"~";"~";"~";"~"
"574";"temps";"+";"-";"-";"-";"+";"-";"-";"~";"~";"~";"~";"~"
