"<ID>";"N0 =: le fait Qu P";"N0 =: la manière de V-inf W";"N0 =: V-n";"N0 =: N-hum";"<OPT>Adj";"<ENT>N";"N0 avoir Det N (avec+envers) N1";"N0 être de Det N (avec+envers) N1";"N0 être Adj (avec+envers) N1";"Det =: du";"Qu P être de Det N de la part de N0";"N0 être de Det N";"Exemple Base1";"Exemple Base2";"Exemple Base3";"Exemple Autre1";"Exemple Autre2";"Exemple Autre3"
"47";"+";"+";"+";"-";"chauvin";"chauvinisme";"-";"-";"-";"+";"+";"+";"~";"(Ceci+Luc) est d'un grand chauvinisme";"~";"~";"~";"~"
"48";"-";"+";"+";"+";"chic";"chic";"-";"-";"-";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"49";"+";"+";"+";"-";"circonspect";"circonspection";"-";"-";"-";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"50";"+";"+";"+";"-";"civique";"civisme";"-";"-";"-";"+";"+";"+";"(Max+L'attitude de Max) a un certain civisme";"~";"~";"~";"~";"~"
"51";"+";"+";"+";"+";"classique";"classicisme";"-";"-";"-";"-";"+";"+";"~";"~";"~";"~";"~";"~"
"52";"-";"+";"+";"-";"clérical";"cléricalisme";"-";"-";"-";"-";"+";"+";"~";"~";"~";"~";"~";"~"
"53";"+";"+";"+";"+";"cocasse";"cocasserie";"-";"-";"-";"+";"+";"+";"~";"(Luc+Ce comportement) est d'une certaine cocasserie";"~";"~";"~";"~"
"54";"+";"+";"+";"+";"comique";"comique";"-";"-";"-";"-";"-";"+";"~";"(Ceci+Luc) est d'un comique irrésistible";"~";"~";"~";"~"
"55";"+";"+";"+";"-";"complaisant";"complaisance";"-";"-";"-";"+";"+";"+";"Max a des complaisances pour ses anciens complices";"~";"~";"Il y a de la complaisance dans ce comportement de Max";"~";"~"
"56";"-";"+";"+";"-";"concis";"concision";"-";"-";"-";"+";"+";"+";"(Luc+Ce discours) a une certaine concision";"~";"~";"~";"~";"~"
"57";"+";"+";"+";"-";"condescendant";"condescendance";"+";"+";"+";"+";"+";"+";"(Cette façon de faire+Max) a une certaine condescendance";"~";"~";"~";"~";"~"
"58";"+";"+";"+";"+";"conformiste";"conformisme";"-";"-";"-";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"59";"-";"+";"+";"+";"confus";"confusion";"-";"-";"-";"-";"+";"+";"~";"~";"~";"~";"~";"~"
"60";"-";"+";"+";"-";"conséquent";"conséquence";"-";"-";"-";"+";"-";"+";"~";"~";"~";"~";"~";"~"
"61";"-";"+";"+";"-";"constant";"constance";"-";"-";"-";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"62";"+";"+";"+";"-";"coquet";"coquetterie";"+";"+";"+";"+";"+";"+";"Marie a des coquetteries charmantes";"(Max+Cette robe) est d'une grande coquetterie";"~";"~";"~";"~"
"63";"-";"+";"-";"+";"coquet";"coquetterie";"-";"-";"-";"-";"+";"+";"~";"~";"~";"~";"~";"~"
"64";"+";"+";"+";"+";"coquin";"coquinerie";"-";"-";"-";"+";"+";"+";"~";"Max est d'une coquinerie incroyable";"~";"~";"~";"~"
"65";"+";"+";"+";"-";"cordial";"cordialité";"+";"+";"+";"+";"+";"+";"(Luc+Cette façon de faire)  a une cordialité";"~";"~";"~";"~";"~"
"66";"+";"+";"+";"-";"correct";"correction";"+";"+";"+";"-";"+";"+";"~";"~";"~";"~";"~";"~"
"67";"+";"+";"+";"-";"courtois";"courtoisie";"+";"+";"+";"+";"+";"+";"Luc a eu la courtoisie de me recevoir";"~";"~";"~";"~";"~"
"68";"-";"+";"+";"-";"crâneur";"crânerie";"-";"-";"-";"-";"+";"+";"Max a eu la crânerie de répondre à Luc";"Max est d'une crânerie terrible";"~";"~";"~";"~"
"69";"+";"+";"+";"-";"crétin";"crétinerie";"-";"-";"-";"-";"+";"+";"~";"~";"~";"~";"~";"~"
"70";"+";"+";"+";"-";"cruel";"cruauté";"+";"+";"+";"+";"+";"+";"~";"Max est d'une grande cruauté";"~";"~";"~";"~"
"71";"-";"+";"+";"-";"cru";"crudité";"-";"-";"-";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"72";"+";"+";"+";"-";"cynique";"cynisme";"-";"-";"-";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"73";"+";"+";"+";"-";"débile";"débilité";"-";"-";"-";"-";"+";"+";"~";"~";"~";"~";"~";"~"
"74";"-";"+";"+";"+";"décadent";"décadence";"-";"-";"-";"-";"+";"+";"~";"~";"~";"~";"~";"~"
"75";"+";"+";"+";"+";"décent";"décence";"-";"-";"-";"+";"+";"+";"Max a (de la décence+eu la décence de se taire)";"~";"Max est décent";"~";"~";"~"
"76";"+";"+";"+";"-";"déférent";"déférence";"+";"+";"+";"+";"+";"+";"Max a de la déférence pour le doyen";"~";"~";"~";"~";"~"
"77";"+";"+";"+";"-";"dégueulasse";"dégueulasserie";"+";"+";"+";"-";"+";"+";"~";"~";"~";"~";"~";"~"
"78";"+";"+";"+";"-";"délicat";"délicatesse";"+";"+";"+";"+";"+";"+";"Léa a (une grande délicatesse+ la délicatesse de se taire)";"~";"~";"~";"~";"~"
"79";"+";"+";"+";"-";"déloyal";"déloyauté";"+";"+";"+";"+";"+";"+";"(Luc+Ce procédé) a une grande déloyauté";"(Luc+Ce procédé) est d'une grande déloyauté";"~";"~";"~";"~"
"80";"+";"+";"+";"-";"démagogue";"démagogie";"-";"-";"-";"-";"+";"+";"~";"~";"~";"~";"~";"~"
"81";"+";"+";"+";"+";"désinvolte";"désinvolture";"+";"+";"+";"+";"+";"+";"Max a une certaine désinvolture";"~";"~";"~";"~";"~"
"82";"+";"+";"+";"-";"désobligeant";"désobligeance";"+";"+";"+";"-";"+";"+";"Max a de la désobligeance à l'égard de Paul";"Max est d'une désobligeance insupportable";"~";"~";"~";"~"
"83";"+";"+";"+";"+";"désuet";"désuétude";"-";"-";"-";"-";"-";"+";"~";"~";"~";"~";"~";"~"
"84";"+";"+";"+";"-";"diabolique";"diabolisme";"-";"-";"-";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"85";"+";"+";"+";"+";"digne";"dignité";"-";"-";"-";"+";"+";"+";"Max a de la dignité";"~";"~";"~";"~";"~"
"86";"+";"+";"+";"-";"diplomate";"diplomatie";"+";"+";"+";"+";"+";"+";"Max a une certaine diplomatie";"~";"~";"~";"~";"~"
"87";"+";"+";"+";"+";"discret";"discrétion";"-";"-";"-";"+";"+";"+";"(Max+Ce geste) a de la discrétion";"~";"~";"~";"~";"~"
"88";"+";"+";"+";"+";"distingué";"distinction";"-";"-";"-";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"89";"+";"+";"+";"-";"dogmatique";"dogmatisme";"-";"-";"-";"+";"+";"+";"Max a un certain dogmatisme";"~";"~";"~";"~";"~"
"90";"+";"+";"+";"-";"droit";"droiture";"-";"-";"-";"+";"+";"+";"Max a de la droiture";"~";"~";"~";"~";"~"
"91";"+";"+";"+";"+";"drôle";"drôlerie";"-";"-";"-";"+";"+";"+";"Max a une certaine drôlerie";"~";"~";"~";"~";"~"
"92";"+";"+";"+";"-";"duplice";"duplicité";"-";"-";"-";"+";"+";"+";"Max a une certaine duplicité";"~";"~";"~";"~";"~"
"93";"+";"+";"+";"-";"dynamique";"dynamisme";"-";"-";"-";"+";"+";"+";"Max a du dynamisme";"~";"~";"~";"~";"~"
"94";"+";"+";"+";"+";"éclectique";"éclectisme";"-";"-";"-";"+";"+";"+";"Max a un certain éclectisme";"~";"~";"~";"~";"~"
"95";"-";"+";"+";"-";"efficace";"efficacité";"-";"-";"-";"+";"+";"+";"Cette méthode a de l'efficacité";"~";"~";"~";"~";"~"
"96";"+";"+";"+";"-";"effronté";"effronterie";"-";"-";"-";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"97";"+";"+";"+";"-";"élégant";"élégance";"-";"-";"-";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"98";"-";"+";"+";"+";"élégant";"élégance";"-";"-";"-";"+";"-";"+";"(Max+Cet objet) a une certaine élégance";"~";"~";"~";"~";"~"
"99";"+";"+";"+";"-";"emphatique";"emphase";"-";"-";"-";"+";"+";"+";"(Max+Sa manière de dire+Dire ceci de cette manière) a de l'emphase";"~";"~";"~";"~";"~"
"100";"-";"+";"+";"-";"empirique";"empirisme";"-";"-";"-";"-";"+";"+";"~";"~";"~";"~";"~";"~"
"101";"-";"+";"+";"-";"énergique";"énergie";"-";"-";"-";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"102";"-";"+";"+";"-";"enthousiaste";"enthousiasme";"-";"-";"-";"+";"+";"+";"Max a de l'enthousiasme pour ce sport";"~";"~";"~";"~";"~"
"103";"+";"+";"+";"-";"équitable";"équité";"+";"+";"+";"+";"+";"+";"Max a une certaine équité";"~";"~";"~";"~";"~"
"104";"+";"+";"+";"+";"érotique";"érotisme";"-";"-";"-";"-";"+";"+";"Cette tenue a un certain érotisme";"~";"~";"~";"~";"~"
"105";"-";"+";"+";"-";"ésotérique";"ésotérisme";"-";"-";"-";"-";"+";"+";"~";"Ce texte est d'un ésotérisme absolu";"~";"~";"~";"~"
"106";"-";"+";"+";"-";"espiègle";"espièglerie";"-";"-";"-";"+";"+";"+";"(Max+Cette conduite) a une certaine espièglerie";"~";"~";"~";"~";"~"
"107";"-";"+";"+";"+";"esthète";"esthétisme";"-";"-";"-";"-";"+";"+";"~";"(Cette attitude+Jean) est d'un esthétisme suranné";"~";"~";"~";"~"
"108";"+";"+";"+";"+";"étrange";"étrangeté";"-";"-";"-";"+";"+";"+";"~";"~";"~";"~";"~";"Que Paul dit cela a une certaine étrangeté"
"109";"+";"+";"+";"+";"excentrique";"excentricité";"-";"-";"-";"-";"+";"+";"(Max+Cet objet) a une certaine excentricité";"~";"~";"~";"~";"~"
"110";"+";"+";"+";"+";"exemplaire";"exemplarité";"-";"-";"-";"-";"+";"+";"Ce châtiment a une exemplarité reconnue";"~";"~";"~";"~";"~"
"111";"+";"+";"+";"+";"exotique";"exotisme";"-";"-";"-";"-";"+";"+";"Cette décoration a un certain exotisme";"~";"~";"~";"~";"~"
"112";"+";"+";"+";"+";"expressif";"expressivité";"-";"-";"-";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"113";"+";"+";"+";"+";"extravagant";"extravagance";"-";"-";"-";"+";"+";"+";"(Ce projet+Max) a une certaine extravagance";"~";"~";"~";"~";"~"
"114";"-";"+";"+";"+";"exubérant";"exubérance";"-";"-";"-";"+";"+";"+";"Max a une certaine exubérance";"~";"~";"~";"~";"~"
"115";"-";"+";"+";"-";"faible";"faiblesse";"+";"+";"+";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"116";"+";"+";"+";"-";"familier";"familiarité";"+";"+";"+";"+";"+";"+";"Max a une familiarité déplacée avec Léa";"Max est d'une familiarité déplacée avec Léa";"~";"~";"~";"~"
"117";"-";"+";"+";"-";"fanatique";"fanatisme";"-";"-";"-";"+";"+";"+";"Max a un certain fanatisme";"~";"~";"~";"~";"~"
"118";"+";"+";"+";"+";"fantaisiste";"fantaisie";"-";"-";"-";"+";"+";"+";"Max a une certaine fantaisie";"~";"~";"~";"~";"~"
"119";"-";"+";"+";"+";"fastueux";"faste";"-";"-";"-";"+";"+";"+";"Cette cérémonie a un certain faste";"~";"~";"~";"~";"~"
"120";"-";"+";"+";"-";"fataliste";"fatalisme";"-";"-";"-";"+";"+";"+";"Max a un certain fatalisme";"~";"~";"~";"~";"~"
"121";"-";"+";"+";"+";"fat";"fatuité";"-";"-";"-";"+";"+";"+";"Max a une certaine fatuité";"~";"~";"~";"~";"~"
"122";"-";"+";"+";"-";"faux";"fausseté";"-";"-";"-";"+";"+";"+";"Max a une certaine fausseté";"~";"~";"~";"~";"~"
"123";"-";"+";"+";"-";"félon";"félonie";"+";"+";"+";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"124";"-";"+";"+";"+";"féminin";"féminité";"-";"-";"-";"+";"+";"+";"Léa a une certaine féminité";"~";"~";"~";"~";"~"
"125";"+";"+";"+";"-";"féroce";"férocité";"+";"+";"+";"+";"+";"+";"Max a une certaine férocité";"~";"~";"~";"~";"~"
"126";"+";"+";"+";"-";"fielleux";"fiel";"-";"-";"-";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"127";"+";"+";"+";"-";"fier";"fierté";"-";"-";"-";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"128";"-";"+";"+";"-";"filou";"filouterie";"+";"+";"+";"+";"+";"+";"Max a fait une filouterie à Léa";"~";"~";"~";"~";"~"
"129";"+";"+";"+";"-";"finaud";"finauderie";"-";"-";"-";"+";"+";"+";"Max a une certaine finauderie";"~";"~";"~";"~";"~"
"130";"-";"+";"+";"-";"flegmatique";"flegme";"+";"+";"+";"-";"+";"+";"Max a un certain flegme";"~";"~";"~";"~";"~"
"131";"+";"+";"+";"+";"formaliste";"formalisme";"+";"+";"+";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"132";"-";"+";"+";"-";"fougueux";"fougue";"-";"-";"-";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"133";"-";"+";"+";"-";"frénétique";"frénésie";"-";"-";"-";"-";"+";"+";"~";"~";"~";"~";"~";"~"
"134";"+";"+";"+";"+";"fripon";"friponnerie";"-";"-";"-";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"135";"-";"+";"+";"-";"fripon";"friponnerie";"+";"+";"+";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"136";"-";"+";"+";"+";"frugal";"frugalité";"-";"-";"-";"-";"-";"+";"~";"~";"~";"~";"~";"~"
"137";"+";"+";"+";"+";"futile";"futilité";"-";"-";"-";"-";"+";"+";"~";"~";"~";"~";"~";"~"
"138";"+";"+";"+";"-";"galant";"galanterie";"+";"+";"+";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"139";"+";"+";"+";"-";"gamin";"gaminerie";"+";"+";"+";"-";"+";"+";"~";"~";"~";"~";"~";"~"
"140";"+";"+";"+";"+";"gauche";"gaucherie";"+";"+";"+";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"141";"+";"+";"+";"-";"généreux";"générosité";"+";"+";"+";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"142";"+";"+";"+";"-";"gentil";"gentillesse";"+";"+";"+";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"143";"+";"+";"+";"-";"glorieux";"gloire";"-";"-";"-";"-";"-";"+";"~";"~";"~";"~";"~";"~"
"144";"-";"+";"+";"-";"goguenard";"goguenardise";"+";"+";"+";"-";"-";"+";"~";"~";"~";"~";"~";"~"
"145";"+";"+";"+";"+";"grand";"grandeur";"-";"-";"-";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"146";"-";"+";"+";"-";"grandiloquent";"grandiloquence";"-";"-";"-";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"147";"+";"+";"+";"-";"grivois";"grivoiserie";"-";"-";"-";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"148";"+";"+";"+";"+";"grossier";"grossièreté";"+";"+";"+";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"149";"+";"+";"+";"+";"grotesque";"grotesque";"-";"-";"-";"-";"+";"+";"~";"~";"~";"~";"~";"~"
"150";"+";"+";"+";"-";"habile";"habileté";"-";"-";"-";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"151";"+";"+";"+";"+";"hardi";"hardiesse";"-";"-";"-";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"152";"+";"+";"+";"-";"hautain";"hauteur";"+";"+";"+";"+";"+";"+";"~";"~";"~";"~";"~";"~"
"153";"+";"+";"+";"+";"hermétique";"hermétisme";"-";"-";"-";"+";"+";"+";"~";"~";"~";"~";"~";"~"
