"<ID>";"N0 =: Nhum";"N0 =: N-hum";"<ENT>N";"<OPT>Adj";"N0 avoir Det N";"N0 avoir Det N Loc N1";"Det =: un";"Det =: un-Modif";"Det =: du";"Det =: des";"Det =: le";"Adj = comme du N";"Adj =: Aug";"Exemple Base1";"Exemple Base2";"Exemple Base3";"Exemple Autre1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"47";"+";"-";"cirrhose";"cirrhotique";"+";"+";"+";"+";"-";"-";"+";"-";"-";"~";"~";"~";"~"
"48";"+";"-";"convulsion";"convulsionnaire";"+";"-";"+";"+";"-";"+";"-";"-";"-";"~";"~";"~";"~"
"49";"+";"-";"coqueluche";"coquelucheux";"+";"-";"-";"+";"-";"-";"+";"+";"-";"~";"~";"~";"~"
"50";"-";"+";"corail";"corallifère";"-";"+";"-";"+";"+";"-";"-";"-";"-";"~";"~";"~";"~"
"51";"+";"+";"corne";"cornu";"+";"+";"+";"+";"-";"-";"-";"-";"-";"~";"~";"~";"~"
"52";"-";"+";"couleur";"coloré";"+";"-";"+";"-";"-";"+";"-";"-";"-";"~";"~";"~";"~"
"53";"+";"-";"courbature";"courbatu";"+";"+";"+";"+";"-";"+";"-";"-";"-";"~";"~";"~";"~"
"54";"-";"+";"craie";"crayeux";"-";"+";"-";"+";"+";"-";"-";"+";"-";"~";"~";"~";"~"
"55";"+";"+";"crasse";"crasseux";"+";"+";"-";"+";"+";"-";"-";"+";"-";"~";"~";"Le peigne est crasseux";"Il y a de la crasse sur le peigne"
"56";"-";"+";"crème";"crémeux";"-";"+";"-";"+";"+";"-";"-";"+";"-";"~";"~";"~";"~"
"57";"+";"+";"croc";"crochu";"+";"+";"+";"-";"-";"-";"-";"+";"+";"~";"~";"~";"~"
"58";"+";"+";"crotte";"crotteux";"+";"+";"-";"+";"+";"-";"-";"-";"-";"~";"~";"~";"~"
"59";"+";"+";"croûte";"croûteux";"+";"+";"+";"+";"+";"-";"-";"-";"-";"~";"~";"~";"Il y a des croûtes sur cette plaie"
"60";"-";"+";"cuivre";"cuivreux";"-";"+";"-";"+";"+";"-";"-";"-";"-";"~";"~";"~";"~"
"61";"+";"+";"cycle";"cyclique";"-";"+";"+";"+";"-";"+";"-";"-";"-";"~";"~";"~";"~"
"62";"+";"+";"dartre";"dartreux";"+";"+";"+";"+";"-";"-";"-";"-";"+";"~";"~";"~";"~"
"63";"-";"+";"défaut";"défectueux";"+";"-";"+";"+";"-";"-";"-";"-";"-";"Cet appareil a un défaut";"~";"~";"~"
"64";"+";"-";"dépression";"dépressif";"+";"-";"+";"+";"-";"+";"-";"-";"-";"Max (a+fait) une dépression";"~";"~";"~"
"65";"+";"-";"diabète";"diabétique";"+";"-";"-";"+";"+";"+";"-";"-";"-";"~";"~";"~";"~"
"66";"-";"+";"diamant";"diamantifère";"-";"+";"-";"+";"+";"-";"-";"-";"-";"~";"~";"~";"~"
"67";"+";"-";"diarrhée";"diarrhéique";"+";"-";"-";"+";"+";"+";"+";"-";"-";"~";"~";"~";"~"
"68";"-";"+";"duvet";"duveteux";"+";"+";"-";"+";"+";"-";"-";"-";"-";"~";"~";"~";"~"
"69";"-";"+";"eau";"aqueux";"-";"+";"-";"-";"+";"-";"-";"-";"-";"~";"~";"~";"~"
"70";"-";"+";"écaille";"écailleux";"+";"+";"-";"+";"-";"-";"-";"-";"-";"~";"~";"~";"~"
"71";"+";"-";"eczéma";"eczémateux";"+";"+";"-";"+";"+";"-";"-";"-";"-";"~";"~";"~";"~"
"72";"-";"+";"édrie";"édrique";"+";"-";"-";"-";"-";"-";"+";"-";"-";"~";"~";"~";"~"
"73";"+";"-";"emphysème";"emphysémateux";"+";"-";"-";"+";"+";"-";"-";"-";"-";"~";"~";"~";"~"
"74";"+";"-";"épilepsie";"épileptique";"+";"-";"-";"+";"+";"-";"-";"-";"-";"Max (a+souffre) d'épilepsie";"~";"~";"~"
"75";"-";"+";"épine";"épineux";"+";"+";"-";"+";"-";"-";"-";"+";"+";"Le rosier a des épines";"~";"~";"~"
"76";"-";"+";"escarpement";"escarpé";"+";"+";"+";"+";"-";"+";"-";"-";"-";"~";"~";"~";"~"
"77";"-";"+";"étain";"stannifère";"-";"+";"-";"+";"+";"-";"-";"-";"-";"~";"~";"~";"~"
"78";"-";"+";"fange";"fangeux";"-";"+";"-";"+";"+";"-";"-";"+";"-";"Cette cour a de la fange (E+partout)";"~";"~";"Il y a de la fange dans cette cour"
"79";"-";"+";"fécule";"féculeux";"-";"+";"-";"+";"+";"-";"-";"+";"-";"~";"~";"~";"~"
"80";"-";"+";"fer";"ferreux";"-";"+";"-";"+";"+";"-";"-";"-";"-";"~";"~";"~";"~"
"81";"-";"+";"fer";"ferrugineux";"-";"+";"-";"+";"+";"-";"-";"-";"-";"~";"~";"~";"~"
"82";"+";"-";"fesse";"fessu";"+";"-";"-";"+";"-";"-";"-";"-";"+";"~";"~";"~";"~"
"83";"-";"+";"feuille";"feuillu";"+";"+";"+";"-";"-";"-";"-";"-";"+";"~";"~";"~";"~"
"84";"-";"+";"fibre";"fibreux";"+";"-";"-";"-";"+";"-";"-";"-";"-";"~";"~";"~";"~"
"85";"+";"-";"fièvre";"fiévreux";"+";"-";"-";"+";"+";"-";"+";"-";"-";"Max a de la fièvre";"~";"~";"~"
"86";"-";"+";"filament";"filamenteux";"+";"-";"+";"+";"-";"+";"-";"-";"+";"~";"~";"~";"~"
"87";"+";"+";"fistule";"fistuleux";"+";"+";"+";"+";"-";"+";"-";"-";"+";"~";"~";"~";"~"
"88";"+";"+";"forme";"forme";"+";"-";"-";"-";"+";"-";"-";"-";"-";"~";"~";"~";"~"
"89";"-";"+";"forme";"morphe";"+";"-";"+";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~"
"90";"+";"-";"fortune";"fortuneé";"+";"-";"-";"+";"+";"-";"-";"-";"-";"~";"~";"~";"~"
"91";"-";"+";"fuligine";"fuligineux";"-";"+";"-";"+";"+";"-";"-";"-";"-";"~";"~";"~";"~"
"92";"-";"+";"fumée";"fumeux";"-";"+";"-";"+";"+";"-";"-";"+";"-";"~";"~";"~";"~"
"93";"+";"-";"furoncle";"furonculeux";"+";"+";"+";"+";"-";"+";"-";"-";"+";"~";"~";"~";"~"
"94";"+";"-";"gale";"galeux";"+";"+";"-";"+";"-";"-";"+";"-";"-";"~";"~";"~";"~"
"95";"+";"-";"gangrène";"gangréneux";"+";"+";"-";"+";"+";"-";"+";"-";"-";"~";"~";"~";"~"
"96";"-";"+";"gaz";"gazeux";"-";"+";"-";"+";"+";"-";"-";"-";"-";"~";"~";"~";"~"
"97";"-";"+";"gazon";"gazonneux";"-";"+";"-";"+";"+";"-";"-";"-";"-";"~";"~";"~";"~"
"98";"-";"+";"gibier";"giboyeux";"+";"-";"-";"+";"+";"-";"-";"-";"+";"~";"~";"~";"~"
"99";"-";"+";"gneiss";"gneisseux";"-";"+";"-";"+";"+";"-";"-";"-";"-";"~";"~";"~";"~"
"100";"-";"+";"gomme";"gommeux";"-";"+";"-";"+";"+";"-";"-";"-";"-";"~";"~";"~";"~"
"101";"-";"+";"goudron";"goudronneux";"-";"+";"-";"+";"+";"-";"-";"-";"-";"~";"~";"~";"~"
"102";"+";"-";"goutte";"goutteux";"+";"+";"-";"+";"-";"-";"+";"-";"-";"~";"~";"~";"~"
"103";"-";"+";"grain";"grenu";"-";"+";"-";"+";"-";"+";"-";"-";"+";"~";"~";"~";"~"
"104";"-";"+";"graisse";"graisseux";"-";"+";"-";"+";"+";"-";"-";"-";"-";"~";"~";"~";"~"
"105";"-";"+";"granit";"graniteux";"-";"+";"-";"+";"+";"-";"-";"-";"-";"~";"~";"~";"~"
"106";"-";"+";"granule";"granuleux";"-";"+";"+";"+";"-";"+";"-";"-";"+";"~";"~";"~";"~"
"107";"-";"+";"graphite";"graphitique";"-";"+";"-";"+";"+";"-";"-";"-";"-";"~";"~";"~";"~"
"108";"-";"+";"gravier";"graveleux";"-";"+";"-";"+";"+";"-";"-";"-";"-";"~";"~";"~";"~"
"109";"-";"+";"grès";"gréseux";"-";"+";"-";"+";"+";"-";"-";"-";"-";"~";"~";"~";"~"
"110";"+";"+";"griffe";"griffu";"+";"+";"+";"+";"-";"+";"-";"-";"-";"~";"~";"~";"~"
"111";"+";"-";"grippe";"grippé";"+";"-";"+";"+";"-";"-";"+";"-";"-";"~";"~";"~";"~"
"112";"-";"+";"grisou";"grisouteux";"-";"+";"-";"+";"+";"-";"-";"-";"-";"~";"~";"~";"~"
"113";"-";"+";"grumeaux";"grumeleux";"+";"+";"+";"+";"-";"+";"-";"-";"+";"~";"~";"~";"~"
"114";"-";"+";"gypse";"gypseux";"-";"+";"-";"+";"+";"-";"-";"-";"-";"~";"~";"~";"~"
"115";"-";"+";"herbe";"herbeux";"-";"+";"-";"+";"+";"+";"-";"-";"+";"~";"~";"~";"~"
"116";"-";"+";"houille";"houilleux";"-";"+";"-";"+";"+";"-";"-";"-";"-";"~";"~";"~";"~"
"117";"-";"+";"houle";"houleux";"+";"-";"-";"+";"+";"-";"-";"-";"-";"~";"~";"~";"~"
"118";"-";"+";"huile";"huileux";"-";"+";"-";"+";"+";"-";"-";"+";"-";"~";"~";"~";"~"
"119";"-";"+";"huile";"oléifère";"-";"+";"-";"+";"+";"-";"-";"-";"-";"~";"~";"~";"~"
"120";"-";"+";"iambe";"iambique";"+";"-";"+";"-";"-";"+";"-";"-";"-";"~";"~";"~";"~"
"121";"-";"+";"inégalité";"inégal";"+";"+";"-";"+";"-";"+";"-";"-";"-";"~";"~";"~";"~"
"122";"+";"-";"insomnie";"insomniaque";"+";"-";"+";"-";"+";"-";"-";"-";"+";"~";"~";"~";"~"
"123";"-";"+";"iode";"iodifère";"-";"+";"-";"+";"+";"-";"-";"-";"-";"~";"~";"~";"~"
