"<ID>";"<ENT>N";"<OPT>V";"faire = procéder à";"Det =: un";"Det =: un-Modif";"Prép1 =: à";"Prép1 =: de";"Prép1 =: contre";"Prép1 =: sur";"N0 faire un N à N1";"N0 faire un N de N1";"N0 faire un N contre N1";"N0 faire un N sur N1";"N0 faire un N Modif à N1";"N0 faire un N Modif de N1";"N0 faire un N Modif contre N1";"N0 faire un N Modif sur N1";"N0 faire le N de N1";"N1 =: Nhum";"N1 =: N-hum";"subir = (être+faire) l'objet de";"Exemple Base1";"Exemple Base2"
"334";"dédouanage";"dédouaner";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"335";"dédoublage";"dédoubler";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"336";"dédoublement";"dédoubler";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"337";"défalcation";"défalquer";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"338";"défanage";"défaner";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"339";"défenestration";"défenestrer";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"+";"~";"~"
"340";"déferlage";"déferler";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"341";"défeutrage";"défeutrer";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"~";"~"
"342";"défibrage";"défibrer";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"343";"défilage";"défiler";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"344";"défonçage";"défoncer";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"345";"défoncement";"défoncer";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"346";"défournage";"défourner";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"347";"défrancisation";"défranciser";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"+";"+";"+";"~";"~"
"348";"défrichage";"défricher";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"Max fait le défrichage (du champ+de la question)";"~"
"349";"défrichement";"défricher";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"Max fait le défrichement (du champ+de la question)";"~"
"350";"dégagement";"dégager";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"351";"dégauchissage";"dégauchir";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"352";"dégazage";"dégazer";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"353";"dégazolinage";"dégazoliner";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"354";"dégivrage";"dégivrer";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"~";"~"
"355";"déglaçage";"déglacer";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"356";"dégommage";"dégommer";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"357";"dégonflage";"dégonfler";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"358";"dégorgeage";"dégorger";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"359";"dégorgement";"dégorger";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"360";"dégoudronnage";"dégoudronner";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"361";"dégraissage";"dégraisser";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"362";"dégrossissage";"dégrossir";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"363";"dégrossissement";"dégrossir";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"364";"déionisation";"déioniser";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"365";"délainage";"délainer";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"366";"délaitage";"délaiter";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"367";"délardement";"délarder";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"368";"délavage";"délaver";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"369";"délayage";"délayer";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"~";"~"
"370";"délestage";"délester";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"371";"délissage";"délisser";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"372";"délitage";"déliter";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"373";"délustrage";"délustrer";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"374";"démagnétisation";"démagnétiser";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"375";"démaillage";"démailler";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"376";"démantèlement";"démanteler";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"~";"~"
"377";"démaquillage";"démaquiller";"+";"+";"+";"+";"+";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"~";"~"
"378";"démarquage";"démarquer";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"379";"démasclage";"démascler";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"380";"démasticage";"démastiquer";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"381";"démazoutage";"démazouter";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"382";"démêlage";"démêler";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"383";"démembrement";"démembrer";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"384";"déménagement";"déménager";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"385";"démilitarisation";"démilitariser";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"~";"~"
"386";"déminage";"déminer";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"387";"déminéralisation";"déminéraliser";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"~";"~"
"388";"démobilisation";"démobiliser";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"+";"~";"~"
"389";"démocratisation";"démocratiser";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"390";"démolissage";"démolir";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"+";"+";"~";"~"
"391";"démolition";"démolir";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"~";"~"
"392";"démonétisation";"démonétiser";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"~";"~"
"393";"démontage";"démonter";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"394";"démoulage";"démouler";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"395";"démoustication";"démoustiquer";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"396";"démystification";"démystifier";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"397";"dénaturalisation";"dénaturaliser";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"+";"~";"~"
"398";"dénaturation";"dénaturer";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"~";"~"
"399";"dénazification";"dénazifier";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"+";"-";"+";"~";"~"
"400";"déneigement";"déneiger";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"401";"dénickelage";"dénickeler";"+";"+";"+";"+";"+";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"402";"dénicotinisation";"dénicotiniser";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"403";"dénivellation";"déniveler";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"~";"~"
"404";"dénivellement";"déniveller";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"~";"~"
"405";"dénonciation";"dénoncer";"-";"+";"+";"-";"+";"+";"-";"-";"+";"+";"-";"-";"+";"+";"-";"+";"+";"+";"+";"~";"~"
"406";"dénoyautage";"dénoyauter";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"407";"densification";"densifier";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"~";"~"
"408";"dénucléarisation";"dénucléariser";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"~";"~"
"409";"dépaillage";"dépailler";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"410";"dépannage";"dépanner";"+";"+";"+";"+";"+";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"411";"dépaquetage";"dépaqueter";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"412";"déparaffinage";"déparaffiner";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"413";"dépavage";"dépaver";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"~";"~"
"414";"dépeçage";"dépecer";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"Max a fait le dépeçage de lapin en morceaux";"~"
"415";"dépècement";"dépecer";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"416";"dépiautement";"dépiauter";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"Max fait le dépiautement de l'aiguille";"~"
"417";"dépicage";"dépiquer";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"418";"dépigeonnage";"dépigeonner";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"Max procède au dépigeonnage des rues";"~"
"419";"dépigeonnisation";"dépigeonniser";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"420";"dépilage";"dépiler";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"Les ouvriers font le (dépilage+dépilement) de la mine";"~"
"421";"dépilation";"dépiler";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"+";"+";"+";"Max procède à la dépilation des ses jambes";"~"
"422";"dépiquage";"dépiquer";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"Max fait le dépiquage des salades";"~"
"423";"dépistage";"dépister";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"+";"+";"+";"la police a procédé au dépistage du malfaiteur";"~"
"424";"déplantage";"déplanter";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"Max fait le déplantage (des fleurs+du massif)";"~"
"425";"déplâtrage";"déplâtrer";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"(Le plâtrier fait le déplâtrage du nom+Le chirurgien fait le déplâtrage de la jambe)";"~"
"426";"dépliage";"déplier";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"Max fait le dépliage (des torchons+du parachute)";"~"
"427";"déplissage";"déplisser";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"Léa fait le déplissage du rideau";"~"
"428";"dépolissage";"dépolir";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"Max fait le dépolissage de l'or";"~"
"429";"dépolitisation";"dépolitiser";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"+";"+";"Le gouvernement a procédé à la dépolitisation des syndicats";"~"
"430";"dépolymérisation";"dépolymériser";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"431";"déportation";"déporter";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"+";"~";"~"
"432";"dépotage";"dépoter";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"433";"dépoussiérage";"dépoussiérer";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"434";"dépréciation";"déprécier";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"~";"~"
"435";"dépuration";"dépurer";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"Les techniciens (font+procèdent à) la dépuration des eaux";"~"
"436";"dératisation";"dératiser";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"437";"déridage";"dérider";"+";"+";"+";"+";"+";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"438";"déroctage";"dérocter";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"~";"~"
"439";"déroulage";"dérouler";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"440";"déroutement";"dérouter";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"(La SNCF a précédé au déroutement des trains+Max fait un déroutement de la circulation par Vichy)";"~"
"441";"désamidonnage";"désamidonner";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"442";"désamorçage";"désamorcer";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"443";"désassemblage";"désassembler";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"~";"~"
"444";"désatellisation";"désatelliser";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"~";"~"
"445";"descellement";"desceller";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"~";"~"
"446";"désenclavement";"désenclaver";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"+";"+";"~";"~"
"447";"désengorgement";"désengorger";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"~";"~"
"448";"désensibilisation";"désensibiliser";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"~";"~"
"449";"désentoilage";"désentoiler";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"~";"~"
"450";"désherbage";"désherber";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"451";"déshuilage";"déshuiler";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"~";"~"
"452";"déshumidification";"déshumidifier";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"~";"~"
"453";"déshydratation";"déshydrater";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"~";"~"
"454";"désinfection";"désinfecter";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"455";"désinsectisation";"désinsectiser";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"~";"~"
"456";"désintégration";"désintégrer";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"~";"~"
"457";"désintoxication";"désintoxiquer";"+";"+";"+";"+";"+";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"+";"+";"+";"+";"~";"~"
"458";"désoufrage";"désoufrer";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"459";"dessablage";"dessabler";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"460";"dessablement";"dessabler";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"461";"dessalage";"dessaler";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"462";"desserrage";"desserrer";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"~";"~"
"463";"dessiccation";"dessécher";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"464";"dessuintage";"dessuinter";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"465";"déstabilisation";"déstabiliser";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"+";"+";"+";"~";"~"
"466";"déstalinisation";"déstaliniser";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"+";"+";"~";"~"
"467";"destruction";"détruire";"+";"+";"+";"+";"+";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"-";"-";"+";"+";"~";"~"
"468";"désulfuration";"désulfurer";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"469";"détartrage";"détartrer";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"L'acidité de l'eau a causé le détartrage de la théière";"~"
"470";"détaxation";"détaxer";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"~";"~"
"471";"détournement";"détourner";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"472";"détoxication";"détoxiquer";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"473";"détroquage";"détroquer";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"474";"dévaluation";"dévaluer";"+";"+";"+";"-";"+";"-";"+";"-";"+";"-";"+";"-";"+";"-";"+";"-";"-";"+";"+";"~";"~"
"475";"dévernissage";"dévernir";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"~";"~"
"476";"déverrouillage";"déverrouiller";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"~";"~"
"477";"dévidage";"dévider";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"478";"dévissage";"dévisser";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"~";"~"
"479";"dévitalisation";"dévitaliser";"+";"+";"+";"+";"+";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"-";"-";"+";"+";"~";"~"
"480";"dévitrification";"dévitrifier";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"~";"~"
"481";"dextrinisation";"dextriniser";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"482";"discrimination";"discriminer";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"483";"disqualification";"disqualifier";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"+";"+";"+";"~";"~"
"484";"dissection";"disséquer";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"485";"dissolution";"dissoudre";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"~";"~"
"486";"distillation";"distiller";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"487";"domestication";"domestiquer";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"~";"~"
"488";"domptage";"dompter";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"489";"dopage";"doper";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"490";"dorage";"dorer";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"491";"dosage";"doser";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"492";"doublage";"doubler";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"493";"doucissage";"doucir";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"494";"dragage";"draguer";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"495";"dragéification";"dragéifier";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"~";"~"
"496";"drainage";"drainer";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"497";"dramatisation";"dramatiser";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"~";"~"
"498";"dressage";"dresser";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"499";"dynamitage";"dynamiter";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~"
"500";"ébarbage";"ébarber";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"Max fait l'ébarbage des tiges";"~"
