"<ID>";"faire = accorder";"faire = adresser";"faire = apporter";"faire = effectuer";"faire = lancer";"faire = octroyer";"Det =: un";"Det =: un-Modif";"Det =: du";"Det =: des";"Det =: le-Modif";"autre Det";"<ENT>N";"<OPT>V";"Prép1 =: à";"Prép1 =: de";"N1 =: Nhum";"N1 =: N-hum";"N0 et N1 se faire Det N";"GN =: le N de N0 à N1";"recevoir = avoir";"recevoir = essuyer";"recevoir = obtenir";"Exemple Base1";"Exemple Autre1"
"84";"+";"-";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"prêt";"prêter";"+";"-";"+";"-";"+";"+";"-";"-";"+";"~";"~"
"85";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"<E>";"promesse";"promettre";"+";"-";"+";"-";"+";"+";"+";"-";"+";"~";"~"
"86";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"propagation";"propager";"-";"+";"-";"+";"-";"-";"-";"-";"-";"~";"~"
"87";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"protestation";"protester";"+";"-";"+";"-";"-";"+";"-";"+";"-";"~";"~"
"88";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"publication";"publier";"-";"+";"-";"+";"-";"-";"+";"-";"-";"~";"~"
"89";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"rajout";"rajouter";"+";"-";"-";"+";"-";"-";"-";"-";"-";"~";"~"
"90";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"Poss0";"ralliement";"rallier";"+";"-";"+";"-";"-";"+";"-";"-";"+";"~";"~"
"91";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"ratification";"ratifier";"-";"+";"-";"+";"-";"-";"-";"-";"+";"~";"~"
"92";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"recommandation";"recommander";"+";"-";"+";"-";"+";"+";"-";"-";"-";"~";"~"
"93";"-";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+";"-";"réfutation";"réfuter";"-";"+";"-";"+";"-";"-";"-";"-";"-";"~";"~"
"94";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"+";"-";"relation";"relier";"+";"-";"+";"-";"-";"+";"-";"-";"-";"~";"~"
"95";"+";"-";"-";"+";"-";"+";"-";"+";"-";"-";"+";"-";"remboursement";"rembourser";"+";"-";"+";"-";"-";"+";"-";"-";"+";"~";"~"
"96";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"remerciements";"remercier";"+";"-";"+";"-";"+";"+";"+";"-";"+";"~";"~"
"97";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"réprimande";"réprimander";"+";"-";"+";"-";"+";"+";"-";"+";"-";"~";"~"
"98";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"reproche";"reprocher";"+";"-";"+";"-";"+";"+";"-";"+";"-";"~";"~"
"99";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"sermon";"sermonner";"+";"-";"+";"-";"+";"+";"-";"-";"-";"~";"~"
"100";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"sollicitation";"solliciter";"+";"-";"+";"-";"-";"-";"-";"-";"-";"~";"~"
"101";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"sonorisation";"sonoriser";"-";"+";"-";"+";"-";"-";"+";"-";"+";"~";"~"
"102";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"Poss0";"soumission";"soumettre";"+";"-";"+";"-";"-";"+";"-";"-";"+";"~";"~"
"103";"-";"+";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"sourire";"sourire";"+";"-";"+";"-";"+";"+";"-";"-";"+";"~";"~"
"104";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"+";"-";"suggestion";"suggérer";"+";"-";"+";"-";"+";"+";"-";"-";"-";"~";"~"
"105";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"supplication";"supplier";"+";"-";"+";"-";"-";"+";"-";"-";"-";"~";"~"
"106";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"taillade";"taillader";"+";"-";"+";"-";"-";"-";"-";"+";"-";"~";"~"
"107";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"tirage";"tirer";"-";"+";"-";"+";"-";"-";"+";"-";"-";"~";"~"
"108";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"traduction";"traduire";"-";"+";"-";"+";"-";"-";"+";"-";"-";"~";"~"
"109";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"validation";"valider";"-";"+";"-";"+";"-";"-";"-";"-";"+";"~";"~"
"110";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"versement";"verser";"+";"-";"+";"-";"-";"+";"-";"-";"+";"~";"~"
"111";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"virement";"virer";"+";"-";"+";"-";"-";"+";"-";"-";"+";"~";"~"

