"<ID>";"N0 =: Nhum";"N0 =: N-hum";"N0 =: (Qu P+V-inf W+V-n)";"<ENT>N";"Det =: le, Vsup =: (avoir+prendre)";"Det =: un, Vsup =: (avoir+prendre)";"Det =: un-Modif, Vsup =: (avoir+prendre)";"Det =: des, Vsup =: (avoir+prendre)";"Det =: du, Vsup =: (avoir+prendre)";"Det =: le, Vsup =: perdre";"Det =: tout, Vsup =: perdre";"Det =: Poss0, Vsup =: perdre";"Prép1";"N1 =: ce Qu P";"Prép N1 =: Prép ce Qu P = Qu P";"N1 =: V0-inf W";"N1 =: Nhum";"N1 =: N-hum";"N0 être de Det N";"N0 être sans Det N";"N0 et N1 (avoir+perdre) Det N";"il y avoir Det N entre N0 et N1";"il y avoir Det N Loc N0";"Vsup =: exercer";"N0hum avoir le N de V0-inf W";"N1nr donner Det N à N0";"N1nr valoir Det N à N0";"N1 donner Det N à N0";"N1hum donner Det N à N0";"ADR";"Exemple Base1"
"49";"-";"-";"-";"pli";"+";"-";"-";"-";"-";"+";"-";"-";"de";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"~"
"50";"-";"-";"-";"position";"-";"-";"+";"+";"-";"-";"+";"+";"sur";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"~"
"51";"+";"+";"-";"prédominance";"+";"-";"+";"-";"-";"+";"+";"+";"sur";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"~"
"52";"+";"-";"-";"privauté";"-";"-";"-";"+";"-";"-";"+";"+";"avec";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"~"
"53";"+";"+";"-";"propension";"-";"-";"+";"+";"-";"-";"+";"+";"à";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"~"
"54";"-";"+";"+";"rapport";"-";"+";"+";"+";"-";"-";"+";"+";"avec";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"~"
"55";"-";"+";"+";"relation";"-";"+";"+";"+";"-";"-";"+";"+";"avec";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"~"
"56";"+";"+";"+";"ressemblance";"-";"-";"+";"-";"+";"-";"+";"+";"avec";"-";"-";"-";"+";"+";"+";"+";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"~"
"57";"+";"-";"-";"satisfaction";"-";"-";"+";"-";"+";"-";"+";"+";"avec";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"-";"~"
"58";"-";"-";"-";"sens";"+";"-";"+";"-";"-";"-";"+";"+";"de";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"+";"~"
"59";"-";"+";"+";"similitude";"-";"+";"+";"+";"-";"-";"+";"+";"avec";"-";"-";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"~"
"60";"-";"+";"-";"solidarité";"-";"-";"+";"-";"-";"-";"+";"+";"avec";"-";"-";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"~"
"61";"+";"-";"-";"souveraineté";"+";"-";"+";"-";"-";"+";"+";"+";"sur";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"+";"+";"-";"+";"+";"~"
"62";"-";"+";"+";"synchronisation";"-";"-";"+";"-";"+";"-";"+";"+";"avec";"-";"-";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"+";"-";"-";"+";"+";"~"
"63";"-";"+";"-";"teneur";"-";"-";"+";"-";"-";"-";"-";"+";"en";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"~"
"64";"+";"-";"-";"tête";"+";"-";"-";"-";"-";"+";"-";"-";"de";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"~"
"65";"-";"+";"-";"vertu";"-";"+";"+";"+";"-";"-";"+";"+";"contre";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"~"

