"<ID>";"<ENT>N";"Det =: un";"Det =: un-Modif";"Det =: le";"Det =: <E>";"Det =: un-(juste+faux)";"Ppv =: en";"Vsup =: acquérir";"Vsup =: vivre dans";"Vsup =: donner";"le N Qu P";"N0 avoir Det N en N1";"N0 avoir un N";"N0 avoir des N";"N0 avoir du N"
"49";"révélation";"-";"+";"+";"-";"-";"+";"-";"-";"-";"+";"+";"+";"+";"-"
"50";"saisie";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"51";"science";"-";"+";"+";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"-"
"52";"sens";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-"
"53";"sentiment";"-";"+";"+";"-";"+";"+";"+";"+";"+";"+";"+";"-";"-";"-"
"54";"soupçon";"-";"+";"+";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-"
"55";"souvenir";"-";"+";"+";"-";"+";"+";"-";"-";"+";"+";"+";"+";"+";"-"
"56";"théorie";"+";"+";"-";"-";"+";"+";"+";"-";"-";"+";"-";"+";"+";"-"
"57";"version";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-"
"58";"vision";"+";"+";"-";"-";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-"
"59";"visualisation";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"60";"vue";"-";"+";"-";"-";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-"
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;

