"<ID>";"N0 =: N-hum";"Det =: un-Modif";"Det =: du";"Det =: des";"N0 avoir Det N";"<OPT>Adj";"<ENT>N";"N0 avoir Det N Prép N1";"N0 être Adj Prép N1";"N0 être de Det N Prép N1";"Prép1";"N1 =: Nhum";"N1 =: N-hum";"N1 =: ce Qu P";"N1 =: V0-inf W";"Qu P être Adj";"Exemple Base1";"Exemple Base2";"Exemple Base3";"Exemple Autre1";"Exemple Autre2"
"102";"-";"+";"+";"-";"+";"négligent";"négligence";"-";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~";"~"
"103";"-";"+";"-";"-";"+";"nymphomane";"nymphomanie";"-";"-";"-";"-";"-";"-";"-";"-";"+";"~";"~";"~";"~";"~"
"104";"-";"+";"+";"-";"+";"obstiné";"obstination";"-";"-";"-";"-";"-";"-";"-";"-";"+";"~";"~";"~";"~";"~"
"105";"-";"+";"+";"-";"+";"orgueilleux";"orgueil";"-";"-";"-";"-";"-";"-";"-";"-";"+";"~";"~";"~";"~";"~"
"106";"-";"+";"-";"-";"+";"ouvert d'esprit";"ouverture d'esprit";"-";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~";"~"
"107";"+";"+";"+";"-";"+";"paillard";"paillardise";"-";"-";"-";"-";"-";"-";"-";"-";"+";"~";"~";"~";"~";"~"
"108";"-";"+";"+";"-";"+";"patient";"patience";"+";"+";"+";"avec";"+";"-";"-";"-";"+";"~";"~";"~";"~";"~"
"109";"-";"+";"+";"-";"+";"pédagogue";"pédagogie";"+";"+";"+";"avec";"+";"-";"-";"-";"+";"~";"~";"~";"~";"~"
"110";"-";"+";"+";"-";"+";"persévérant";"persévérance";"-";"-";"-";"-";"-";"-";"-";"-";"+";"~";"~";"~";"~";"~"
"111";"-";"+";"+";"-";"+";"philanthrope";"philanthropie";"-";"-";"-";"-";"-";"-";"-";"-";"+";"~";"~";"~";"~";"~"
"112";"-";"+";"+";"-";"+";"pingre";"pingrerie";"-";"-";"-";"-";"-";"-";"-";"-";"+";"~";"~";"~";"~";"~"
"113";"-";"+";"+";"-";"+";"poltron";"poltronnerie";"-";"-";"-";"-";"-";"-";"-";"-";"+";"~";"~";"~";"~";"~"
"114";"-";"+";"+";"-";"+";"ponctuel";"ponctualité";"+";"+";"+";"à";"-";"+";"-";"+";"-";"~";"~";"~";"~";"~"
"115";"-";"+";"+";"+";"+";"présomptueux";"présomption";"-";"-";"-";"-";"-";"-";"-";"-";"+";"~";"~";"~";"~";"~"
"116";"-";"+";"+";"-";"+";"preste";"prestesse";"-";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~";"~"
"117";"-";"+";"+";"-";"+";"prévenant";"prévenance";"+";"+";"+";"envers";"+";"-";"-";"-";"+";"~";"~";"~";"~";"~"
"118";"-";"+";"+";"-";"+";"prodigue";"prodigalité";"-";"-";"-";"-";"-";"-";"-";"-";"+";"~";"~";"~";"~";"~"
"119";"+";"+";"+";"-";"+";"propre";"propreté";"-";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~";"~"
"120";"-";"+";"+";"-";"+";"prudent";"prudence";"-";"-";"-";"-";"-";"-";"-";"-";"+";"~";"~";"~";"~";"~"
"121";"-";"+";"+";"-";"+";"psychologue";"psychologie";"+";"+";"+";"avec";"+";"-";"-";"-";"+";"~";"~";"~";"~";"~"
"122";"-";"+";"-";"-";"+";"puriste";"purisme";"-";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~";"~"
"123";"-";"+";"-";"-";"+";"radin";"radinerie";"-";"-";"-";"-";"-";"-";"-";"-";"+";"~";"~";"~";"~";"~"
"124";"-";"+";"+";"+";"+";"rancunier";"rancune";"+";"+";"+";"envers";"+";"-";"-";"-";"+";"~";"~";"~";"~";"~"
"125";"-";"+";"+";"-";"+";"réservé";"réserve";"-";"-";"-";"-";"-";"-";"-";"-";"+";"~";"~";"~";"~";"~"
"126";"+";"+";"+";"-";"+";"résistant";"résistance";"-";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~";"~"
"127";"-";"+";"+";"-";"+";"rétif";"rétivité";"-";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~";"~"
"128";"+";"+";"+";"-";"+";"ridicule";"ridicule";"-";"-";"-";"-";"-";"-";"-";"-";"+";"~";"~";"~";"~";"~"
"129";"+";"+";"+";"-";"+";"robuste";"robustesse";"-";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~";"~"
"130";"-";"+";"+";"-";"+";"roublard";"roublardise";"-";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~";"~"
"131";"-";"+";"+";"-";"+";"sage";"sagesse";"-";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~";"~"
"132";"-";"+";"+";"-";"+";"saint";"sainteté";"-";"-";"-";"-";"-";"-";"-";"-";"+";"~";"~";"~";"~";"~"
"133";"-";"+";"+";"-";"+";"salaud";"saloperie";"+";"+";"+";"envers";"+";"-";"-";"-";"+";"~";"~";"~";"~";"~"
"134";"-";"+";"+";"-";"+";"sceptique";"scepticisme";"-";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~";"~"
"135";"-";"+";"-";"-";"+";"serviable";"serviabilité";"+";"+";"+";"avec";"+";"-";"-";"-";"+";"~";"~";"~";"~";"~"
"136";"-";"+";"+";"-";"+";"sobre";"sobriété";"-";"-";"-";"-";"-";"-";"-";"-";"+";"~";"~";"~";"~";"~"
"137";"-";"+";"+";"-";"+";"sociable";"sociabilité";"-";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~";"~"
"138";"-";"+";"-";"-";"+";"sot";"sottise";"-";"-";"-";"-";"-";"-";"-";"-";"+";"~";"~";"~";"~";"~"
"139";"-";"+";"+";"+";"+";"superstitieux";"superstition";"-";"-";"-";"-";"-";"-";"-";"-";"+";"~";"~";"~";"~";"~"
"140";"-";"+";"-";"-";"+";"susceptible";"susceptibilité";"-";"-";"-";"-";"-";"-";"-";"-";"+";"~";"~";"~";"~";"~"
"141";"-";"+";"+";"+";"+";"talentueux";"talent";"-";"-";"-";"-";"-";"-";"-";"-";"+";"~";"~";"~";"~";"~"
"142";"-";"+";"-";"-";"+";"taquin";"taquinerie";"+";"+";"+";"avec";"-";"-";"-";"-";"+";"~";"~";"~";"~";"~"
"143";"-";"+";"+";"-";"+";"tenace";"ténacité";"-";"-";"-";"-";"-";"-";"-";"-";"+";"~";"~";"~";"~";"~"
"144";"-";"+";"+";"-";"+";"tolérant";"tolérance";"+";"+";"+";"avec";"+";"-";"-";"-";"+";"~";"~";"~";"~";"~"
"145";"-";"+";"+";"-";"+";"vaillant";"vaillance";"-";"-";"-";"-";"-";"-";"-";"-";"+";"~";"~";"~";"~";"~"
"146";"-";"+";"+";"-";"+";"vaniteux";"vanité";"-";"-";"-";"-";"-";"-";"-";"-";"+";"~";"~";"~";"~";"~"
"147";"-";"+";"+";"-";"+";"vantard";"vantardise";"-";"-";"-";"-";"-";"-";"-";"-";"+";"~";"~";"~";"~";"~"
"148";"-";"+";"+";"+";"+";"vertueux";"vertu";"-";"-";"-";"-";"-";"-";"-";"-";"+";"~";"~";"~";"~";"~"
"149";"-";"+";"+";"+";"+";"vicieux";"vice";"-";"-";"-";"-";"-";"-";"-";"-";"+";"~";"~";"~";"~";"~"
"150";"-";"+";"+";"-";"+";"vindicatif";"vindicte";"+";"+";"+";"avec";"+";"-";"-";"-";"+";"~";"~";"~";"~";"~"
"151";"-";"+";"+";"-";"+";"vorace";"voracité";"-";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~";"~"
"152";"-";"+";"-";"-";"+";"xénophile";"xénophilie";"-";"-";"-";"-";"-";"-";"-";"-";"+";"~";"~";"~";"~";"~"
"153";"-";"+";"-";"-";"+";"xénophobe";"xénophobie";"-";"-";"-";"-";"-";"-";"-";"-";"+";"~";"~";"~";"~";"~"
"154";"-";"+";"+";"-";"+";"zélé";"zèle";"-";"-";"-";"-";"-";"-";"-";"-";"+";"~";"~";"~";"~";"~"

