"<ID>";"N0 =: N-hum";"donner = accorder";"donner = adresser";"donner = apporter";"donner = faire";"donner = passer";"donner = flanquer";"<ENT>N";"<OPT>V";"Det figé";"autre Det";"Det =: un";"Det =: un-Modif";"Det =: du";"Det =: des";"Det =: le-Modif";"N1 =: Nhum";"N1 =: N-hum";"N0 et N1 se donner Det N";"GN =: le N de N0 à N1";"recevoir = avoir";"recevoir = encourir";"recevoir = essuyer";"recevoir = obtenir";"recevoir = percevoir";"recevoir = prendre";"recevoir = tenir";"recevoir = toucher";"Exemple Base1";"Exemple Autre1";"Exemple Autre2"
"159";"-";"+";"-";"-";"-";"-";"-";"mutation";"muter";"-";"Poss2";"+";"-";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"~";"~";"~"
"160";"-";"+";"-";"-";"-";"-";"-";"naturalisation";"naturaliser";"-";"Poss2";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"~";"~";"~"
"161";"+";"-";"-";"-";"-";"-";"-";"nom";"nommer";"-";"Poss2";"+";"-";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~"
"162";"-";"+";"-";"-";"-";"-";"-";"nomination";"nommer";"-";"Poss2";"+";"-";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"~";"~";"~"
"163";"-";"+";"-";"-";"-";"-";"-";"nomination";"nommer";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"~";"~";"~"
"164";"-";"+";"-";"-";"+";"-";"-";"notation";"noter";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"~";"~";"~"
"165";"-";"+";"-";"-";"-";"-";"-";"note";"noter";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"~";"~";"~"
"166";"-";"-";"-";"+";"-";"-";"-";"notification";"notifier";"<E>";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"~";"~";"~"
"167";"-";"+";"-";"+";"-";"-";"-";"nourriture";"nourrir";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"+";"~";"~";"~"
"168";"-";"+";"-";"-";"-";"-";"-";"numéro";"numéroter";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"~";"~";"~"
"169";"-";"+";"-";"+";"-";"-";"-";"numérotation";"numéroter";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~"
"170";"-";"-";"+";"-";"+";"-";"-";"ordre";"ordonner";"-";"<E>";"+";"-";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"~";"~";"~"
"171";"+";"-";"-";"+";"-";"-";"-";"orientation";"orienter";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~"
"172";"-";"+";"-";"-";"-";"-";"-";"paie";"payer";"-";"Poss2";"-";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"+";"+";"-";"+";"+";"~";"~";"~"
"173";"-";"+";"+";"-";"-";"-";"-";"pardon";"pardonner";"-";"Poss0";"-";"+";"-";"-";"+";"+";"-";"+";"+";"+";"-";"-";"+";"-";"-";"-";"-";"~";"~";"~"
"174";"-";"+";"-";"+";"-";"-";"-";"parrainage";"parrainer";"Poss0";"-";"-";"+";"-";"-";"-";"+";"+";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"~";"~";"~"
"175";"-";"+";"-";"+";"-";"-";"-";"patronage";"patronner";"Poss0";"-";"-";"+";"-";"-";"-";"+";"+";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"~";"~";"~"
"176";"-";"-";"+";"-";"-";"-";"+";"pénalisation";"pénaliser";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"+";"+";"+";"+";"-";"-";"-";"-";"~";"~";"~"
"177";"-";"+";"-";"+";"+";"-";"-";"pension";"pensioner";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"+";"~";"~";"~"
"178";"+";"-";"-";"+";"-";"-";"-";"perfectionnement";"perfectionner";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~"
"179";"+";"+";"-";"-";"-";"-";"-";"permission";"permettre";"-";"-";"-";"+";"-";"-";"+";"+";"-";"+";"+";"+";"-";"-";"+";"-";"-";"+";"-";"~";"~";"~"
"180";"-";"-";"-";"-";"-";"-";"+";"pile";"piler";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"~";"~";"~"
"181";"-";"+";"-";"+";"-";"-";"-";"piston";"pistonner";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"~";"~";"~"
"182";"-";"+";"-";"-";"-";"-";"-";"préférence";"préférer";"-";"Poss0";"-";"+";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~"
"183";"+";"-";"-";"-";"-";"-";"-";"prénom";"prénommer";"-";"Poss2";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~"
"184";"+";"-";"-";"+";"+";"-";"-";"preuve";"prouver";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~"
"185";"+";"-";"-";"+";"+";"-";"-";"prolongation";"prolonger";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~"
"186";"+";"-";"-";"+";"+";"-";"-";"prolongement";"prolonger";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~"
"187";"-";"+";"-";"-";"+";"-";"-";"prorogation";"proroger";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"~";"~";"~"
"188";"+";"+";"-";"+";"-";"-";"-";"protection";"protéger";"-";"Poss0";"-";"+";"-";"-";"-";"+";"+";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"~";"~";"~"
"189";"-";"-";"+";"-";"-";"-";"+";"punition";"punir";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"~";"~";"~"
"190";"+";"-";"-";"+";"-";"-";"-";"qualification";"qualifier";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"~";"~";"~"
"191";"+";"-";"-";"-";"-";"-";"-";"qualité";"qualifier";"-";"<E>";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"~";"~";"~"
"192";"-";"+";"-";"-";"-";"-";"-";"rancard";"rancarder";"-";"<E>";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"-";"+";"-";"-";"-";"-";"~";"~";"~"
"193";"-";"+";"-";"+";"-";"+";"-";"rancard";"rancarder";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"-";"+";"-";"-";"-";"-";"~";"~";"~"
"194";"-";"-";"-";"+";"-";"+";"-";"ravitaillement";"ravitailler";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"+";"~";"~";"~"
"195";"-";"-";"-";"+";"+";"-";"-";"réalisation";"réaliser";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~"
"196";"+";"+";"-";"+";"+";"-";"-";"récompense";"récompenser";"-";"Poss2";"+";"-";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"+";"+";"-";"+";"+";"~";"~";"~"
"197";"+";"-";"-";"+";"-";"-";"-";"réconfort";"réconforter";"-";"-";"-";"+";"+";"-";"-";"+";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"~";"~";"~"
"198";"-";"+";"-";"-";"+";"-";"-";"recyclage";"recycler";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"~";"~";"~"
"199";"+";"+";"-";"+";"-";"-";"-";"réhabilitation";"réhabiliter";"-";"Poss2";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"~";"~";"~"
"200";"+";"+";"-";"-";"-";"-";"-";"réintégration";"réintégrer";"-";"Poss2";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"~";"~";"~"
"201";"-";"+";"-";"+";"-";"-";"-";"rémunération";"rémunérer";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"+";"~";"~";"~"
"202";"+";"-";"-";"+";"-";"+";"-";"renseignement";"renseigner";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"-";"-";"-";"+";"-";"-";"+";"-";"~";"~";"~"
"203";"-";"+";"-";"-";"+";"-";"-";"rente";"renter";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"+";"-";"-";"+";"+";"~";"~";"~"
"204";"-";"-";"+";"-";"+";"-";"-";"réplique";"répliquer";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"~";"~";"~"
"205";"-";"-";"+";"+";"+";"-";"-";"réponse";"répondre";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"+";"+";"-";"-";"+";"-";"-";"+";"-";"~";"~";"~"
"206";"-";"+";"-";"+";"+";"-";"-";"rétribution";"rétribuer";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"+";"-";"-";"+";"+";"~";"~";"~"
"207";"-";"-";"+";"+";"+";"-";"-";"riposte";"riposter";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"~";"~";"~"
"208";"-";"-";"-";"-";"-";"-";"+";"rossée";"rosser";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"-";"-";"+";"-";"-";"+";"-";"-";"~";"~";"~"
"209";"-";"-";"-";"-";"+";"-";"+";"saccades";"saccader";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"~";"~";"~"
"210";"-";"-";"-";"-";"-";"-";"-";"sacre";"sacrer";"le";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~"
"211";"-";"-";"-";"-";"-";"+";"+";"sanction";"sanctionner";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"~";"~";"~"
"212";"-";"-";"-";"+";"-";"-";"-";"sanction";"sanctionner";"Poss0";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"~";"~";"~"
"213";"+";"+";"-";"+";"-";"-";"-";"satisfaction";"satisfaire";"<E>";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"~";"~";"~"
"214";"-";"-";"+";"-";"-";"+";"-";"savon";"savonner";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"~";"~";"~"
"215";"-";"-";"-";"+";"-";"-";"-";"secours";"secourir";"-";"-";"-";"+";"+";"-";"+";"+";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"~";"~";"~"
"216";"-";"-";"+";"-";"+";"+";"-";"semonce";"semoncer";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"~";"~";"~"
"217";"+";"-";"-";"+";"-";"-";"-";"sensibilisation";"sensibiliser";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~"
"218";"-";"+";"-";"+";"-";"-";"-";"soins";"soigner";"-";"-";"-";"-";"-";"+";"-";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"~";"~";"~"
"219";"+";"-";"-";"+";"-";"-";"-";"solution";"solutionner";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"~";"~";"~"
"220";"-";"-";"-";"-";"-";"+";"+";"soufflet";"souffleter";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"-";"-";"+";"-";"-";"+";"-";"-";"~";"~";"~"
"221";"-";"+";"-";"+";"-";"-";"-";"soutien";"soutenir";"-";"Poss0";"-";"+";"-";"-";"-";"+";"+";"+";"+";"+";"-";"-";"+";"-";"-";"-";"-";"~";"~";"~"
"222";"+";"-";"-";"+";"-";"-";"-";"spécialisation";"spécialiser";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"~";"~";"~"
"223";"+";"-";"-";"+";"-";"-";"-";"stimulation";"stimuler";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~"
"224";"+";"-";"-";"+";"-";"-";"-";"structuration";"structurer";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~"
"225";"-";"+";"+";"+";"-";"-";"-";"subvention";"subventionner";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"+";"+";"-";"-";"+";"+";"-";"+";"+";"~";"~";"~"
"226";"-";"-";"-";"-";"-";"+";"+";"tabassée";"tabasser";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"-";"-";"+";"-";"-";"+";"-";"-";"~";"~";"~"
"227";"-";"-";"-";"-";"-";"+";"+";"taloche";"talocher";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"-";"-";"+";"-";"-";"+";"-";"-";"~";"~";"~"
"228";"-";"-";"-";"-";"-";"-";"+";"tape";"taper";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"-";"-";"+";"-";"-";"+";"-";"-";"~";"~";"~"
"229";"-";"-";"-";"-";"-";"-";"-";"taxe";"taxer";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~"
"230";"+";"-";"-";"+";"-";"-";"-";"témoignage";"témoigner";"-";"Poss0";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~"
"231";"+";"+";"-";"-";"-";"-";"-";"titularisation";"titulariser";"-";"Poss2";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"~";"~";"~"
"232";"-";"+";"-";"-";"+";"-";"-";"traitement";"traiter";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~"
