"<ID>";"Det =: le";"N0 faire un N";"Det =: un-Modif";"Det =: du";"Det =: des";"Det =: un";"<ENT>N";"N1 =: Nhum";"N1 =: N-hum";"N1 avoir un N";"N0 faire un N à N1";"Exemple Autre1"
"171";"+";"+";"+";"+";"+";"+";"statistique";"+";"+";"-";"-";"~"
"172";"+";"+";"+";"-";"+";"+";"statue";"+";"-";"-";"+";"~"
"173";"+";"+";"+";"-";"+";"+";"sténogramme";"-";"+";"-";"-";"~"
"174";"+";"+";"+";"+";"+";"+";"synthèse";"-";"+";"-";"-";"~"
"175";"+";"+";"+";"-";"+";"+";"table";"-";"+";"-";"-";"~"
"176";"+";"+";"+";"-";"+";"-";"tableau";"-";"+";"-";"-";"~"
"177";"+";"+";"+";"+";"+";"+";"tableau d'affichage";"-";"+";"-";"-";"~"
"178";"+";"+";"+";"-";"+";"+";"tableau synoptique";"-";"+";"-";"-";"~"
"179";"+";"+";"+";"+";"+";"+";"théorie";"-";"+";"-";"-";"~"
"180";"+";"-";"-";"-";"-";"+";"toilette";"+";"-";"-";"-";"~"
"181";"+";"+";"+";"+";"+";"+";"topographie";"-";"+";"+";"-";"~"
"182";"+";"+";"+";"-";"+";"+";"total";"+";"+";"+";"-";"~"
"183";"+";"-";"+";"-";"-";"-";"tour";"+";"+";"-";"-";"~"
"184";"+";"+";"+";"-";"+";"+";"tour de France";"-";"+";"-";"-";"~"
"185";"+";"+";"+";"-";"+";"+";"tour d'horizon";"-";"+";"-";"-";"~"
"186";"+";"+";"+";"-";"+";"+";"tour du monde";"+";"+";"-";"-";"~"
"187";"+";"-";"+";"-";"-";"-";"tournée";"+";"+";"-";"-";"~"
"188";"+";"+";"+";"-";"+";"+";"tracé";"-";"+";"+";"+";"~"
"189";"+";"-";"+";"+";"-";"-";"trafic";"-";"+";"-";"-";"~"
"190";"+";"-";"+";"-";"-";"-";"traite";"+";"-";"-";"-";"~"
"191";"+";"-";"+";"-";"-";"-";"traité";"+";"-";"-";"-";"~"
"192";"+";"+";"+";"+";"+";"+";"typologie";"-";"+";"-";"-";"~"
"193";"-";"+";"+";"-";"+";"+";"version";"-";"+";"-";"-";"~"
"194";"-";"+";"+";"-";"+";"+";"vue stéréoscopique";"-";"+";"-";"-";"~"

