"<ID>";"<ENT>N";"autre Det";"Det =: un";"Det =: un-Modif";"Det =: du";"Det =: des";"N0 faire le N de V0-inf W";"N0hum faire Det N à N1hum sur ce point";"Exemple Autre1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"93";"excuses";"-";"-";"-";"-";"+";"-";"+";"Marie fait des excuses à Jean"
"94";"exhibition";"-";"+";"+";"-";"+";"-";"-";"Le cirque fait une exhibition de chiens savants"
"95";"farce";"-";"+";"+";"-";"+";"+";"-";"Max a fait une farce à Luc"
"96";"faveur";"-";"+";"+";"-";"+";"+";"+";"Max accord une faveur à Jean"
"97";"fellation";"-";"+";"+";"-";"+";"-";"-";"~"
"98";"fête";"-";"+";"+";"-";"+";"-";"-";"Max (fait+donne) une fête (E+à Marie)"
"99";"fleur";"-";"+";"+";"-";"+";"+";"-";"Max a fait une fleur à Léa"
"100";"fourberie";"-";"+";"+";"-";"+";"+";"-";"~"
"101";"friponnerie";"-";"+";"+";"-";"+";"+";"-";"~"
"102";"générosité";"-";"+";"+";"-";"+";"+";"-";"~"
"103";"gentillesse";"-";"+";"+";"-";"+";"+";"-";"~"
"104";"geste";"-";"+";"+";"-";"+";"+";"-";"~"
"105";"goujaterie";"-";"+";"+";"-";"+";"+";"-";"~"
"106";"goutte-à-goutte";"-";"-";"+";"+";"-";"-";"-";"~"
"107";"grâce";"-";"+";"+";"-";"-";"+";"-";"~"
"108";"grâces";"-";"-";"-";"-";"+";"-";"-";"~"
"109";"gracieuseté";"-";"+";"+";"-";"+";"+";"-";"~"
"110";"grimace";"la";"+";"+";"-";"+";"-";"-";"~"
"111";"gringue";"-";"-";"+";"+";"-";"-";"-";"~"
"112";"guerre";"la";"-";"+";"-";"-";"-";"-";"~"
"113";"histoires";"-";"-";"-";"-";"+";"-";"+";"~"
"114";"homélie";"-";"+";"+";"-";"-";"-";"+";"~"
"115";"hommages";"Poss0";"-";"-";"-";"+";"-";"-";"~"
"116";"honneur";"-";"+";"+";"+";"-";"+";"-";"~"
"117";"impolitesse";"-";"+";"+";"-";"+";"+";"-";"~"
"118";"incantation";"-";"+";"+";"-";"+";"-";"+";"~"
"119";"incivilité";"-";"+";"+";"-";"+";"+";"-";"~"
"120";"infamie";"-";"+";"+";"-";"+";"+";"-";"~"
"121";"injure";"<E>";"+";"+";"-";"+";"+";"-";"~"
"122";"injustice";"-";"+";"+";"-";"+";"+";"+";"~"
"123";"intox";"-";"-";"+";"+";"-";"-";"+";"~"
"124";"invites";"-";"-";"-";"-";"+";"-";"-";"~"
"125";"jérémiades";"-";"-";"-";"-";"+";"-";"+";"~"
"126";"jus";"-";"+";"+";"-";"-";"-";"+";"~"
"127";"lamento";"-";"+";"+";"-";"-";"-";"+";"~"
"128";"largesses";"-";"-";"-";"-";"+";"-";"-";"~"
"129";"lèche";"-";"-";"+";"+";"-";"-";"-";"~"
"130";"lèche-bottes";"-";"-";"+";"+";"-";"-";"-";"~"
"131";"lèche-cul";"-";"-";"+";"+";"-";"-";"-";"~"
"132";"leçon";"la";"+";"+";"-";"-";"-";"+";"~"
"133";"lettre";"-";"+";"+";"-";"+";"-";"+";"~"
"134";"libations";"-";"-";"-";"-";"+";"-";"-";"~"
"135";"libéralité";"-";"+";"+";"-";"+";"+";"-";"~"
"136";"lifting";"-";"+";"+";"-";"+";"-";"-";"~"
"137";"litanies";"-";"-";"+";"-";"+";"-";"+";"~"
"138";"lobotomie";"-";"+";"+";"-";"+";"-";"-";"~"
"139";"madrigal";"-";"+";"+";"-";"+";"-";"+";"~"
"140";"malhonnêteté";"-";"+";"+";"-";"+";"+";"-";"~"
"141";"malice";"-";"+";"+";"-";"+";"+";"-";"~"
"142";"mamours";"-";"-";"-";"-";"+";"-";"-";"~"
"143";"manucure";"-";"+";"+";"-";"+";"-";"-";"~"
"144";"méchanceté";"-";"+";"+";"-";"+";"+";"-";"~"
"145";"mélo";"-";"-";"+";"+";"-";"-";"-";"~"
"146";"mercuriale";"-";"+";"+";"-";"+";"-";"+";"~"
"147";"micmacs";"-";"-";"-";"+";"+";"-";"+";"~"
"148";"mignardises";"-";"-";"-";"-";"+";"-";"-";"~"
"149";"mimique";"-";"+";"+";"-";"+";"-";"-";"~"
"150";"minauderies";"-";"-";"-";"-";"+";"-";"-";"~"
"151";"mines";"-";"-";"-";"-";"+";"-";"-";"~"
"152";"mômeries";"-";"-";"-";"-";"+";"-";"-";"~"
"153";"moue";"la";"-";"+";"-";"-";"-";"-";"~"
"154";"N-fleuve";"-";"+";"+";"-";"+";"-";"+";"~"
"155";"niche";"-";"+";"+";"-";"+";"-";"-";"~"
"156";"N-suicide";"-";"+";"+";"-";"+";"-";"+";"~"
"157";"numéro";"-";"+";"+";"-";"+";"-";"-";"~"
"158";"objurgations";"-";"-";"-";"-";"+";"-";"-";"~"
"159";"observation";"-";"+";"+";"-";"+";"-";"+";"~"
"160";"oeillade";"-";"+";"+";"-";"+";"-";"-";"~"
"161";"opération-charme";"-";"+";"+";"-";"+";"-";"-";"~"
"162";"oraison";"-";"+";"+";"-";"+";"-";"-";"~"
"163";"ordonnance";"-";"+";"+";"-";"+";"-";"-";"~"
"164";"ouvertures";"-";"-";"-";"-";"+";"-";"+";"~"
"165";"ovations";"-";"-";"-";"-";"+";"-";"-";"~"
"166";"pantomime";"la";"+";"+";"+";"-";"-";"-";"~"
"167";"papelardises";"-";"-";"-";"-";"+";"-";"-";"~"
"168";"papouilles";"-";"-";"-";"-";"+";"-";"-";"~"
"169";"passe";"-";"+";"+";"-";"+";"-";"-";"~"
"170";"passe-droit";"-";"+";"+";"-";"+";"+";"+";"~"
"171";"pataquès";"-";"+";"+";"+";"+";"-";"+";"~"
"172";"pathos";"-";"-";"+";"+";"-";"-";"-";"~"
"173";"perfidie";"-";"+";"+";"+";"+";"+";"-";"~"
"174";"perfusion";"-";"+";"+";"-";"+";"-";"-";"~"
"175";"pétition";"-";"+";"+";"-";"+";"-";"+";"~"
"176";"piraterie";"-";"+";"+";"-";"+";"+";"-";"~"
"177";"pitrerie";"-";"+";"+";"-";"+";"+";"-";"~"
"178";"placage";"-";"+";"+";"-";"+";"-";"-";"~"
"179";"plaisir";"<E>";"-";"+";"-";"-";"+";"-";"~"
"180";"plaquage";"-";"+";"+";"-";"+";"-";"-";"~"
"181";"plat";"-";"-";"+";"+";"-";"-";"-";"~"
"182";"platitude";"-";"+";"+";"-";"+";"+";"-";"~"
"183";"pneumothorax";"-";"+";"+";"-";"+";"-";"-";"~"
"184";"polissonnerie";"-";"+";"+";"-";"+";"+";"-";"~"
"185";"potins";"-";"-";"-";"-";"+";"-";"+";"~"
"186";"prêchi-prêcha";"-";"+";"+";"+";"+";"-";"+";"~"
"187";"prédication";"-";"+";"+";"-";"+";"-";"+";"~"
"188";"présent";"-";"+";"+";"-";"+";"-";"-";"~"
"189";"prise";"-";"+";"+";"-";"+";"-";"-";"~"
"190";"procès";"-";"+";"+";"-";"-";"-";"+";"~"
"191";"procès-verbal";"-";"+";"+";"-";"+";"-";"-";"~"
"192";"procuration";"-";"+";"+";"-";"+";"-";"-";"~"
"193";"prône";"-";"+";"+";"-";"-";"-";"+";"~"
"194";"propagande";"-";"+";"+";"+";"-";"-";"+";"~"
"195";"propositions";"-";"-";"-";"-";"+";"-";"-";"~"
"196";"rabais";"-";"+";"+";"+";"+";"-";"+";"~"
"197";"racontars";"-";"-";"-";"-";"+";"-";"+";"~"
"198";"rapport-fleuve";"-";"+";"+";"-";"+";"-";"+";"~"
"199";"reçu";"-";"+";"+";"-";"+";"-";"-";"~"
"200";"réduction";"-";"+";"+";"-";"+";"-";"+";"~"
"201";"réflexion";"-";"+";"+";"-";"+";"-";"+";"~"
"202";"remarque";"-";"+";"+";"-";"+";"-";"+";"~"
"203";"remise";"-";"+";"+";"-";"+";"-";"+";"~"
"204";"remontrance";"-";"+";"+";"-";"+";"-";"+";"~"
"205";"rente";"-";"+";"+";"-";"+";"-";"-";"~"
"206";"rentre-dedans";"-";"-";"+";"+";"-";"-";"-";"~"
"207";"retraite";"-";"+";"+";"-";"+";"-";"-";"~"
"208";"révérence";"la";"+";"+";"-";"+";"-";"-";"~"
"209";"risette";"<E>";"+";"+";"-";"+";"-";"-";"~"
"210";"ristourne";"-";"+";"+";"-";"+";"-";"+";"~"
"211";"rodomontades";"-";"-";"-";"-";"+";"-";"+";"~"
"212";"roublardise";"-";"+";"+";"-";"+";"+";"-";"~"
"213";"salades";"-";"-";"-";"-";"+";"-";"-";"~"
"214";"salamalecs";"-";"-";"-";"-";"+";"-";"-";"~"
"215";"saleté";"-";"+";"+";"-";"+";"+";"-";"~"
"216";"saloperie";"-";"+";"+";"-";"+";"+";"-";"~"
"217";"scène";"-";"+";"+";"-";"+";"-";"-";"~"
"218";"semonce";"-";"+";"+";"-";"-";"-";"+";"~"
"219";"sérénade";"la";"+";"+";"-";"+";"-";"+";"~"
"220";"sérénade";"la";"+";"+";"-";"+";"-";"-";"~"
