"<ID>";"N0 =: Nhum";"N0 =: N-hum";"N0 =: Nnr";"Vsup =: avoir";"Vsup =: avoir eu";"Det =: des";"Det =: un";"Det =: un-Modif";"Det =: du";"Det =: <E>";"Det =: le";"Det =: les";"le N de N0 =: son";"N0 Vsup Det N de Nc sur N1";"Det =: un-de Dnum Nmes";"<ENT>N";"N0 Vsup Det N";"N1 =: Nhum";"N1 =: N-hum";"N1 =: N0";"N1 =: la façon de V-inf W";"N1 =: le fait Qu P";"N1 =: ce(ci+la)";"N1 =: la dessus";"N0 V son N sur N1";"Prép1 =: dans";"Exemple Base1";"Exemple Autre1"
"44";"+";"+";"+";"+";"-";"-";"+";"+";"+";"-";"+";"-";"-";"-";"-";"dominance";"+";"+";"+";"+";"-";"-";"+";"+";"+";"+";"~";"~"
"45";"+";"-";"-";"+";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"domination";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"~";"~"
"46";"+";"+";"-";"+";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"donnée";"-";"+";"+";"-";"+";"+";"+";"+";"+";"-";"~";"~"
"47";"+";"-";"-";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"doute";"-";"+";"+";"-";"+";"+";"+";"+";"+";"-";"~";"~"
"48";"+";"-";"-";"+";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"droit";"-";"+";"+";"-";"-";"-";"+";"+";"+";"-";"~";"~"
"49";"+";"-";"-";"+";"-";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"droit de regard";"-";"+";"+";"-";"+";"+";"+";"+";"+";"+";"~";"~"
"50";"+";"-";"-";"-";"+";"+";"+";"+";"-";"-";"-";"-";"+";"+";"-";"éclaircissement";"+";"-";"+";"-";"+";"+";"+";"+";"+";"-";"~";"~"
"51";"-";"+";"+";"+";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"éclat";"+";"+";"+";"-";"-";"-";"+";"+";"+";"+";"~";"~"
"52";"-";"+";"+";"+";"+";"+";"+";"+";"+";"-";"-";"-";"+";"-";"-";"effet";"+";"+";"+";"-";"+";"+";"+";"+";"+";"-";"~";"~"
"53";"+";"-";"-";"+";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"empire";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"~";"~"
"54";"+";"-";"-";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"+";"+";"emprise";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"~";"~"
"55";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"escompte";"+";"-";"+";"-";"-";"-";"+";"+";"+";"-";"Ce client a eu un escompte sur cet article";"~"
"56";"+";"-";"-";"+";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"examen";"+";"-";"+";"-";"+";"-";"+";"+";"+";"-";"~";"~"
